task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
68,edit,68,0.30,0.92,1.00,0.30
69,edit,68,0.00,0.00,0.00,0.00
111,edit,68,0.50,1.00,1.00,0.50
165,edit,68,0.60,1.00,1.00,0.60
278,edit,68,0.00,0.00,0.00,0.00
406,edit,68,0.70,1.00,1.00,0.70
439,edit,68,0.90,1.00,1.00,0.90
453,edit,68,0.50,1.00,1.00,0.50
724,edit,68,0.70,1.00,1.00,0.70
746,edit,68,0.20,0.78,1.00,0.20
750,edit,68,0.00,0.00,0.00,0.00
69,edit,69,0.20,0.78,1.00,0.20
68,edit,69,0.70,1.00,1.00,0.70
111,edit,69,0.50,1.00,1.00,0.50
165,edit,69,0.30,0.92,1.00,0.30
278,edit,69,0.00,0.00,0.00,0.00
406,edit,69,0.50,1.00,1.00,0.50
439,edit,69,0.90,1.00,1.00,0.90
453,edit,69,0.40,0.98,1.00,0.40
724,edit,69,0.50,1.00,1.00,0.50
746,edit,69,0.30,0.92,1.00,0.30
750,edit,69,0.00,0.00,0.00,0.00
111,edit,111,0.70,1.00,1.00,0.70
68,edit,111,0.40,0.98,1.00,0.40
69,edit,111,0.00,0.00,0.00,0.00
165,edit,111,0.30,0.92,1.00,0.30
278,edit,111,0.00,0.00,0.00,0.00
406,edit,111,0.80,1.00,1.00,0.80
439,edit,111,0.80,1.00,1.00,0.80
453,edit,111,0.40,0.98,1.00,0.40
724,edit,111,0.70,1.00,1.00,0.70
746,edit,111,0.20,0.78,1.00,0.20
750,edit,111,0.00,0.00,0.00,0.00
165,edit,165,0.30,0.92,1.00,0.30
68,edit,165,0.70,1.00,1.00,0.70
69,edit,165,0.00,0.00,0.00,0.00
111,edit,165,0.50,1.00,1.00,0.50
278,edit,165,0.00,0.00,0.00,0.00
406,edit,165,0.60,1.00,1.00,0.60
439,edit,165,0.80,1.00,1.00,0.80
453,edit,165,0.30,0.92,1.00,0.30
724,edit,165,0.60,1.00,1.00,0.60
746,edit,165,0.30,0.92,1.00,0.30
750,edit,165,0.00,0.00,0.00,0.00
