task_id,layer,pass@1,pass@5,pass@10,pass_ratio,improvement
68,orig,0.60,1.00,1.00,0.60,
68,pert,0.30,0.92,1.00,0.30,
68,0,0.00,0.00,0.00,0.00,0
68,1,0.00,0.00,0.00,0.00,0
68,2,0.00,0.00,0.00,0.00,0
68,3,0.00,0.00,0.00,0.00,0
68,4,0.00,0.00,0.00,0.00,0
68,5,0.00,0.00,0.00,0.00,0
68,6,0.00,0.00,0.00,0.00,0
68,7,0.00,0.00,0.00,0.00,0
68,8,0.00,0.00,0.00,0.00,0
68,9,0.00,0.00,0.00,0.00,0
68,10,0.00,0.00,0.00,0.00,0
68,11,0.00,0.00,0.00,0.00,0
68,12,0.00,0.00,0.00,0.00,0
68,13,0.00,0.00,0.00,0.00,0
68,14,0.00,0.00,0.00,0.00,0
68,orig,0.50,1.00,1.00,0.50,
68,pert,0.40,0.98,1.00,0.40,
68,0,0.00,0.00,0.00,0.00,0
68,1,0.00,0.00,0.00,0.00,0
68,2,0.00,0.00,0.00,0.00,0
68,3,0.00,0.00,0.00,0.00,0
68,4,0.00,0.00,0.00,0.00,0
68,5,0.00,0.00,0.00,0.00,0
68,6,0.00,0.00,0.00,0.00,0
68,7,0.00,0.00,0.00,0.00,0
68,8,0.00,0.00,0.00,0.00,0
68,9,0.00,0.00,0.00,0.00,0
68,10,0.00,0.00,0.00,0.00,0
68,11,0.00,0.00,0.00,0.00,0
68,12,0.00,0.00,0.00,0.00,0
68,13,0.00,0.00,0.00,0.00,0
68,14,0.00,0.00,0.00,0.00,0
68,15,0.30,0.92,1.00,0.30,0
68,16,0.80,1.00,1.00,0.80,4.00
68,17,0.10,0.50,1.00,0.10,0
68,18,0.90,1.00,1.00,0.90,5.00
68,19,0.90,1.00,1.00,0.90,5.00
68,20,0.90,1.00,1.00,0.90,5.00
68,21,0.50,1.00,1.00,0.50,1.00
68,22,0.40,0.98,1.00,0.40,0.00
68,23,0.20,0.78,1.00,0.20,0
68,24,0.70,1.00,1.00,0.70,3.00
68,25,0.40,0.98,1.00,0.40,0.00
68,26,0.40,0.98,1.00,0.40,0.00
68,27,0.10,0.50,1.00,0.10,0
68,28,0.30,0.92,1.00,0.30,0
68,29,0.40,0.98,1.00,0.40,0.00
68,30,0.50,1.00,1.00,0.50,1.00
68,31,0.50,1.00,1.00,0.50,1.00
69,orig,0.10,0.50,1.00,0.10,
69,pert,0.00,0.00,0.00,0.00,
69,0,0.00,0.00,0.00,0.00,0.00
69,1,0.00,0.00,0.00,0.00,0.00
69,2,0.00,0.00,0.00,0.00,0.00
69,3,0.00,0.00,0.00,0.00,0.00
69,4,0.00,0.00,0.00,0.00,0.00
69,5,0.00,0.00,0.00,0.00,0.00
69,6,0.00,0.00,0.00,0.00,0.00
69,7,0.00,0.00,0.00,0.00,0.00
69,8,0.00,0.00,0.00,0.00,0.00
69,9,0.00,0.00,0.00,0.00,0.00
69,10,0.00,0.00,0.00,0.00,0.00
69,11,0.00,0.00,0.00,0.00,0.00
69,12,0.00,0.00,0.00,0.00,0.00
69,13,0.30,0.92,1.00,0.30,3.00
69,14,0.00,0.00,0.00,0.00,0.00
69,15,0.00,0.00,0.00,0.00,0.00
69,16,0.00,0.00,0.00,0.00,0.00
69,17,0.00,0.00,0.00,0.00,0.00
69,18,0.00,0.00,0.00,0.00,0.00
69,19,0.10,0.50,1.00,0.10,1.00
69,20,0.10,0.50,1.00,0.10,1.00
69,21,0.20,0.78,1.00,0.20,2.00
69,22,0.10,0.50,1.00,0.10,1.00
69,23,0.10,0.50,1.00,0.10,1.00
69,24,0.00,0.00,0.00,0.00,0.00
69,25,0.00,0.00,0.00,0.00,0.00
69,26,0.30,0.92,1.00,0.30,3.00
69,27,0.00,0.00,0.00,0.00,0.00
69,28,0.00,0.00,0.00,0.00,0.00
69,29,0.00,0.00,0.00,0.00,0.00
69,30,0.00,0.00,0.00,0.00,0.00
69,31,0.00,0.00,0.00,0.00,0.00
111,orig,0.30,0.92,1.00,0.30,
111,pert,0.60,1.00,1.00,0.60,
111,0,0.00,0.00,0.00,0.00,0
111,1,0.00,0.00,0.00,0.00,0
111,2,0.00,0.00,0.00,0.00,0
111,3,0.00,0.00,0.00,0.00,0
111,4,0.00,0.00,0.00,0.00,0
111,5,0.00,0.00,0.00,0.00,0
111,6,0.00,0.00,0.00,0.00,0
111,7,0.00,0.00,0.00,0.00,0
111,8,0.00,0.00,0.00,0.00,0
111,9,0.00,0.00,0.00,0.00,0
111,10,0.60,1.00,1.00,0.60,0
111,11,0.00,0.00,0.00,0.00,0
111,12,0.00,0.00,0.00,0.00,0
111,13,1.00,1.00,1.00,1.00,0
111,14,1.00,1.00,1.00,1.00,0
111,15,0.00,0.00,0.00,0.00,0
111,16,0.70,1.00,1.00,0.70,0
111,17,0.10,0.50,1.00,0.10,0
111,18,0.70,1.00,1.00,0.70,0
111,19,0.90,1.00,1.00,0.90,0
111,20,0.40,0.98,1.00,0.40,0
111,21,1.00,1.00,1.00,1.00,0
111,22,1.00,1.00,1.00,1.00,0
111,23,0.90,1.00,1.00,0.90,0
111,24,1.00,1.00,1.00,1.00,0
111,25,0.70,1.00,1.00,0.70,0
111,26,0.20,0.78,1.00,0.20,0
111,27,0.30,0.92,1.00,0.30,0
111,28,0.80,1.00,1.00,0.80,0
111,29,0.60,1.00,1.00,0.60,0
111,30,0.70,1.00,1.00,0.70,0
111,31,0.30,0.92,1.00,0.30,0
165,orig,0.90,1.00,1.00,0.90,
165,pert,0.30,0.92,1.00,0.30,
165,0,0.80,1.00,1.00,0.80,0.83
165,1,0.40,0.98,1.00,0.40,0.17
165,2,0.80,1.00,1.00,0.80,0.83
165,3,1.00,1.00,1.00,1.00,1.17
165,4,0.80,1.00,1.00,0.80,0.83
165,5,1.00,1.00,1.00,1.00,1.17
165,6,0.90,1.00,1.00,0.90,1.00
165,7,0.80,1.00,1.00,0.80,0.83
165,8,1.00,1.00,1.00,1.00,1.17
165,9,0.80,1.00,1.00,0.80,0.83
165,10,0.90,1.00,1.00,0.90,1.00
165,11,0.90,1.00,1.00,0.90,1.00
165,12,1.00,1.00,1.00,1.00,1.17
165,13,0.90,1.00,1.00,0.90,1.00
165,14,0.90,1.00,1.00,0.90,1.00
165,15,0.90,1.00,1.00,0.90,1.00
165,16,0.90,1.00,1.00,0.90,1.00
165,17,0.90,1.00,1.00,0.90,1.00
165,18,0.90,1.00,1.00,0.90,1.00
165,19,0.60,1.00,1.00,0.60,0.50
165,20,0.50,1.00,1.00,0.50,0.33
165,21,0.60,1.00,1.00,0.60,0.50
165,22,0.50,1.00,1.00,0.50,0.33
165,23,0.50,1.00,1.00,0.50,0.33
165,24,0.10,0.50,1.00,0.10,0
165,25,0.30,0.92,1.00,0.30,0.00
165,26,0.40,0.98,1.00,0.40,0.17
165,27,0.60,1.00,1.00,0.60,0.50
165,28,0.50,1.00,1.00,0.50,0.33
165,29,0.20,0.78,1.00,0.20,0
165,30,0.30,0.92,1.00,0.30,0.00
165,31,0.20,0.78,1.00,0.20,0
68,orig,0.80,1.00,1.00,0.80,
68,pert,0.50,1.00,1.00,0.50,
68,0,0.00,0.00,0.00,0.00,0
