task_id,n_edit_tasks,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,19,0.0053,0.0263,0.0526,0.0053
97,19,0.7316,0.9958,1.0,0.7316
111,19,0.5579,0.9842,1.0,0.5579
270,19,0.4,0.9042,0.9474,0.4
274,19,0.3526,0.9137,1.0,0.3526
446,19,0.7737,1.0,1.0,0.7737
453,19,0.5158,0.9674,1.0,0.5158
471,19,0.4053,0.94,1.0,0.4053
555,19,0.4579,0.9674,1.0,0.4579
556,19,0.4421,0.9505,1.0,0.4421
593,19,0.0263,0.1316,0.2632,0.0263
596,19,0.0211,0.0937,0.1579,0.0211
629,19,0.7263,0.9989,1.0,0.7263
724,19,0.1368,0.4926,0.6842,0.1368
737,19,0.3842,0.9126,1.0,0.3842
746,19,0.5526,0.9853,1.0,0.5526
780,19,0.4737,0.9526,1.0,0.4737
783,19,0.2421,0.7716,0.9474,0.2421
788,19,0.8158,1.0,1.0,0.8158
