task_id,n_edit_tasks,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,20,0.125,0.476,0.7,0.125
79,20,0.635,0.999,1.0,0.635
97,20,0.435,0.945,1.0,0.435
108,20,0.265,0.772,0.9,0.265
130,20,0.27,0.775,0.9,0.27
249,20,0.255,0.727,0.95,0.255
278,20,0.165,0.529,0.75,0.165
455,20,0.71,0.999,1.0,0.71
464,20,0.845,1.0,1.0,0.845
471,20,0.08,0.32,0.5,0.08
556,20,0.475,0.96,1.0,0.475
558,20,0.895,1.0,1.0,0.895
569,20,0.045,0.203,0.35,0.045
573,20,0.095,0.409,0.65,0.095
593,20,0.18,0.621,0.85,0.18
614,20,0.275,0.765,0.95,0.275
638,20,0.485,0.952,1.0,0.485
750,20,0.135,0.494,0.7,0.135
786,20,0.9,1.0,1.0,0.9
801,20,0.57,0.973,1.0,0.57
