task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/136,edit,HumanEval/136,0.10,0.50,1.00,0.10
HumanEval/89,edit,HumanEval/136,0.10,0.50,1.00,0.10
HumanEval/128,edit,HumanEval/136,0.20,0.78,1.00,0.20
HumanEval/8,edit,HumanEval/136,0.60,1.00,1.00,0.60
HumanEval/117,edit,HumanEval/136,0.30,0.92,1.00,0.30
HumanEval/74,edit,HumanEval/136,0.30,0.92,1.00,0.30
HumanEval/89,edit,HumanEval/89,0.40,0.98,1.00,0.40
HumanEval/136,edit,HumanEval/89,0.00,0.00,0.00,0.00
HumanEval/128,edit,HumanEval/89,0.20,0.78,1.00,0.20
HumanEval/8,edit,HumanEval/89,0.30,0.92,1.00,0.30
HumanEval/117,edit,HumanEval/89,0.30,0.92,1.00,0.30
HumanEval/74,edit,HumanEval/89,0.40,0.98,1.00,0.40
HumanEval/128,edit,HumanEval/128,0.00,0.00,0.00,0.00
HumanEval/136,edit,HumanEval/128,0.10,0.50,1.00,0.10
HumanEval/89,edit,HumanEval/128,0.20,0.78,1.00,0.20
HumanEval/8,edit,HumanEval/128,0.30,0.92,1.00,0.30
HumanEval/117,edit,HumanEval/128,0.50,1.00,1.00,0.50
HumanEval/74,edit,HumanEval/128,0.30,0.92,1.00,0.30
HumanEval/8,edit,HumanEval/8,0.80,1.00,1.00,0.80
HumanEval/136,edit,HumanEval/8,0.00,0.00,0.00,0.00
HumanEval/89,edit,HumanEval/8,0.00,0.00,0.00,0.00
HumanEval/128,edit,HumanEval/8,0.00,0.00,0.00,0.00
HumanEval/117,edit,HumanEval/8,0.40,0.98,1.00,0.40
HumanEval/74,edit,HumanEval/8,0.40,0.98,1.00,0.40
HumanEval/117,edit,HumanEval/117,0.30,0.92,1.00,0.30
HumanEval/136,edit,HumanEval/117,0.00,0.00,0.00,0.00
HumanEval/89,edit,HumanEval/117,0.20,0.78,1.00,0.20
HumanEval/128,edit,HumanEval/117,0.10,0.50,1.00,0.10
HumanEval/8,edit,HumanEval/117,0.50,1.00,1.00,0.50
HumanEval/74,edit,HumanEval/117,0.40,0.98,1.00,0.40
HumanEval/74,edit,HumanEval/74,0.30,0.92,1.00,0.30
HumanEval/136,edit,HumanEval/74,0.00,0.00,0.00,0.00
HumanEval/89,edit,HumanEval/74,0.00,0.00,0.00,0.00
HumanEval/128,edit,HumanEval/74,0.00,0.00,0.00,0.00
HumanEval/8,edit,HumanEval/74,0.40,0.98,1.00,0.40
HumanEval/117,edit,HumanEval/74,0.30,0.92,1.00,0.30
