task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/74,edit,HumanEval/74,0.00,0.00,0.00,0.00
HumanEval/5,edit,HumanEval/74,0.10,0.50,1.00,0.10
HumanEval/46,edit,HumanEval/74,0.70,1.00,1.00,0.70
HumanEval/79,edit,HumanEval/74,0.60,1.00,1.00,0.60
HumanEval/97,edit,HumanEval/74,0.70,1.00,1.00,0.70
HumanEval/152,edit,HumanEval/74,0.90,1.00,1.00,0.90
HumanEval/136,edit,HumanEval/74,0.10,0.50,1.00,0.10
HumanEval/5,edit,HumanEval/5,0.30,0.92,1.00,0.30
HumanEval/74,edit,HumanEval/5,0.00,0.00,0.00,0.00
HumanEval/46,edit,HumanEval/5,0.60,1.00,1.00,0.60
HumanEval/79,edit,HumanEval/5,0.80,1.00,1.00,0.80
HumanEval/97,edit,HumanEval/5,0.60,1.00,1.00,0.60
HumanEval/152,edit,HumanEval/5,1.00,1.00,1.00,1.00
HumanEval/136,edit,HumanEval/5,0.00,0.00,0.00,0.00
HumanEval/46,edit,HumanEval/46,0.70,1.00,1.00,0.70
HumanEval/74,edit,HumanEval/46,0.00,0.00,0.00,0.00
HumanEval/5,edit,HumanEval/46,0.10,0.50,1.00,0.10
HumanEval/79,edit,HumanEval/46,0.30,0.92,1.00,0.30
HumanEval/97,edit,HumanEval/46,0.50,1.00,1.00,0.50
HumanEval/152,edit,HumanEval/46,0.90,1.00,1.00,0.90
HumanEval/136,edit,HumanEval/46,0.00,0.00,0.00,0.00
HumanEval/79,edit,HumanEval/79,0.60,1.00,1.00,0.60
HumanEval/74,edit,HumanEval/79,0.00,0.00,0.00,0.00
HumanEval/5,edit,HumanEval/79,0.20,0.78,1.00,0.20
HumanEval/46,edit,HumanEval/79,1.00,1.00,1.00,1.00
HumanEval/97,edit,HumanEval/79,0.60,1.00,1.00,0.60
HumanEval/152,edit,HumanEval/79,0.90,1.00,1.00,0.90
HumanEval/136,edit,HumanEval/79,0.10,0.50,1.00,0.10
HumanEval/97,edit,HumanEval/97,0.90,1.00,1.00,0.90
HumanEval/74,edit,HumanEval/97,0.00,0.00,0.00,0.00
HumanEval/5,edit,HumanEval/97,0.30,0.92,1.00,0.30
HumanEval/46,edit,HumanEval/97,0.80,1.00,1.00,0.80
HumanEval/79,edit,HumanEval/97,0.60,1.00,1.00,0.60
HumanEval/152,edit,HumanEval/97,0.90,1.00,1.00,0.90
HumanEval/136,edit,HumanEval/97,0.00,0.00,0.00,0.00
HumanEval/152,edit,HumanEval/152,0.90,1.00,1.00,0.90
HumanEval/74,edit,HumanEval/152,0.00,0.00,0.00,0.00
HumanEval/5,edit,HumanEval/152,0.10,0.50,1.00,0.10
HumanEval/46,edit,HumanEval/152,0.70,1.00,1.00,0.70
HumanEval/79,edit,HumanEval/152,0.50,1.00,1.00,0.50
HumanEval/97,edit,HumanEval/152,0.90,1.00,1.00,0.90
HumanEval/136,edit,HumanEval/152,0.00,0.00,0.00,0.00
HumanEval/136,edit,HumanEval/136,0.00,0.00,0.00,0.00
HumanEval/74,edit,HumanEval/136,0.00,0.00,0.00,0.00
HumanEval/5,edit,HumanEval/136,0.20,0.78,1.00,0.20
HumanEval/46,edit,HumanEval/136,0.80,1.00,1.00,0.80
HumanEval/79,edit,HumanEval/136,0.60,1.00,1.00,0.60
HumanEval/97,edit,HumanEval/136,0.80,1.00,1.00,0.80
HumanEval/152,edit,HumanEval/136,0.70,1.00,1.00,0.70
