task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/142,edit,HumanEval/142,0.70,1.00,1.00,0.70
HumanEval/5,edit,HumanEval/142,0.20,0.78,1.00,0.20
HumanEval/43,edit,HumanEval/142,0.50,1.00,1.00,0.50
HumanEval/136,edit,HumanEval/142,0.00,0.00,0.00,0.00
HumanEval/5,edit,HumanEval/5,0.30,0.92,1.00,0.30
HumanEval/142,edit,HumanEval/5,0.30,0.92,1.00,0.30
HumanEval/43,edit,HumanEval/5,0.40,0.98,1.00,0.40
HumanEval/136,edit,HumanEval/5,0.00,0.00,0.00,0.00
HumanEval/43,edit,HumanEval/43,0.40,0.98,1.00,0.40
HumanEval/142,edit,HumanEval/43,0.30,0.92,1.00,0.30
HumanEval/5,edit,HumanEval/43,0.30,0.92,1.00,0.30
HumanEval/136,edit,HumanEval/43,0.10,0.50,1.00,0.10
HumanEval/136,edit,HumanEval/136,0.00,0.00,0.00,0.00
HumanEval/142,edit,HumanEval/136,0.20,0.78,1.00,0.20
HumanEval/5,edit,HumanEval/136,0.10,0.50,1.00,0.10
HumanEval/43,edit,HumanEval/136,0.40,0.98,1.00,0.40
