task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
HumanEval/97,80.0,100.0,20.0
HumanEval/74,70.0,70.0,0.0
HumanEval/5,30.0,50.0,20.0
HumanEval/142,30.0,70.0,40.0
HumanEval/9,30.0,30.0,0.0
HumanEval/66,20.0,90.0,70.0
HumanEval/124,20.0,20.0,0.0
HumanEval/79,20.0,80.0,60.0
HumanEval/89,20.0,40.0,20.0
HumanEval/128,20.0,30.0,10.0
HumanEval/88,10.0,10.0,0.0
HumanEval/51,10.0,40.0,30.0
HumanEval/121,10.0,90.0,80.0
HumanEval/136,10.0,40.0,30.0
HumanEval/94,10.0,10.0,0.0
HumanEval/14,10.0,10.0,0.0
HumanEval/49,10.0,100.0,90.0
HumanEval/117,10.0,30.0,20.0
HumanEval/154,10.0,20.0,10.0
HumanEval/95,10.0,10.0,0.0
HumanEval/65,0.0,0.0,0.0
HumanEval/90,0.0,0.0,0.0
HumanEval/22,0.0,100.0,100.0
HumanEval/32,0.0,0.0,0.0
HumanEval/69,0.0,0.0,0.0
HumanEval/87,0.0,0.0,0.0
HumanEval/113,0.0,0.0,0.0
HumanEval/163,0.0,0.0,0.0
HumanEval/91,0.0,0.0,0.0
HumanEval/41,0.0,0.0,0.0
HumanEval/63,0.0,100.0,100.0
HumanEval/33,0.0,0.0,0.0
HumanEval/60,0.0,100.0,100.0
HumanEval/137,0.0,0.0,0.0
HumanEval/78,0.0,10.0,10.0
HumanEval/17,0.0,0.0,0.0
HumanEval/7,0.0,100.0,100.0
HumanEval/73,0.0,0.0,0.0
HumanEval/52,0.0,0.0,0.0
HumanEval/131,0.0,0.0,0.0
HumanEval/152,0.0,100.0,100.0
HumanEval/109,0.0,0.0,0.0
HumanEval/139,0.0,0.0,0.0
HumanEval/76,0.0,0.0,0.0
HumanEval/83,0.0,10.0,10.0
HumanEval/81,0.0,0.0,0.0
HumanEval/96,0.0,0.0,0.0
HumanEval/111,0.0,0.0,0.0
HumanEval/138,0.0,0.0,0.0
HumanEval/46,0.0,70.0,70.0
HumanEval/75,0.0,0.0,0.0
HumanEval/70,0.0,0.0,0.0
HumanEval/127,0.0,0.0,0.0
HumanEval/28,0.0,100.0,100.0
HumanEval/130,0.0,0.0,0.0
HumanEval/134,0.0,0.0,0.0
HumanEval/153,0.0,0.0,0.0
HumanEval/116,0.0,100.0,100.0
HumanEval/150,0.0,0.0,0.0
HumanEval/144,0.0,0.0,0.0
HumanEval/129,0.0,0.0,0.0
HumanEval/31,0.0,100.0,100.0
HumanEval/148,0.0,10.0,10.0
HumanEval/1,0.0,0.0,0.0
HumanEval/107,0.0,0.0,0.0
HumanEval/29,0.0,100.0,100.0
HumanEval/30,0.0,100.0,100.0
HumanEval/123,0.0,0.0,0.0
HumanEval/149,0.0,0.0,0.0
HumanEval/2,0.0,100.0,100.0
HumanEval/122,0.0,0.0,0.0
HumanEval/80,0.0,0.0,0.0
HumanEval/64,0.0,0.0,0.0
HumanEval/147,0.0,0.0,0.0
HumanEval/101,0.0,0.0,0.0
HumanEval/36,0.0,0.0,0.0
HumanEval/115,0.0,0.0,0.0
HumanEval/26,0.0,10.0,10.0
HumanEval/157,0.0,0.0,0.0
HumanEval/158,0.0,0.0,0.0
HumanEval/141,0.0,0.0,0.0
HumanEval/132,0.0,0.0,0.0
HumanEval/143,0.0,0.0,0.0
HumanEval/112,0.0,0.0,0.0
HumanEval/103,0.0,30.0,30.0
HumanEval/160,0.0,0.0,0.0
HumanEval/27,0.0,100.0,100.0
HumanEval/53,0.0,100.0,100.0
HumanEval/67,0.0,0.0,0.0
HumanEval/59,0.0,0.0,0.0
HumanEval/125,0.0,0.0,0.0
HumanEval/25,0.0,100.0,100.0
HumanEval/99,0.0,0.0,0.0
HumanEval/16,0.0,100.0,100.0
HumanEval/133,0.0,0.0,0.0
HumanEval/161,0.0,0.0,0.0
HumanEval/13,0.0,100.0,100.0
HumanEval/24,0.0,0.0,0.0
HumanEval/19,0.0,0.0,0.0
HumanEval/100,0.0,0.0,0.0
HumanEval/48,0.0,100.0,100.0
HumanEval/84,0.0,0.0,0.0
HumanEval/39,0.0,0.0,0.0
HumanEval/15,0.0,100.0,100.0
HumanEval/42,0.0,100.0,100.0
HumanEval/61,0.0,100.0,100.0
HumanEval/118,0.0,0.0,0.0
HumanEval/12,0.0,100.0,100.0
HumanEval/44,0.0,70.0,70.0
HumanEval/119,0.0,0.0,0.0
HumanEval/146,0.0,0.0,0.0
HumanEval/102,0.0,0.0,0.0
HumanEval/18,0.0,20.0,20.0
HumanEval/11,0.0,100.0,100.0
HumanEval/85,0.0,10.0,10.0
HumanEval/92,0.0,0.0,0.0
HumanEval/6,0.0,0.0,0.0
HumanEval/34,0.0,100.0,100.0
HumanEval/38,0.0,0.0,0.0
HumanEval/47,0.0,100.0,100.0
HumanEval/110,0.0,0.0,0.0
HumanEval/45,0.0,100.0,100.0
HumanEval/145,0.0,0.0,0.0
HumanEval/37,0.0,0.0,0.0
HumanEval/35,0.0,100.0,100.0
HumanEval/140,0.0,0.0,0.0
HumanEval/86,0.0,0.0,0.0
HumanEval/162,0.0,0.0,0.0
HumanEval/58,0.0,100.0,100.0
HumanEval/23,0.0,100.0,100.0
HumanEval/135,0.0,0.0,0.0
HumanEval/72,0.0,80.0,80.0
HumanEval/0,0.0,100.0,100.0
HumanEval/126,0.0,0.0,0.0
HumanEval/62,0.0,10.0,10.0
HumanEval/21,0.0,100.0,100.0
HumanEval/20,0.0,0.0,0.0
HumanEval/55,0.0,100.0,100.0
HumanEval/54,0.0,0.0,0.0
HumanEval/108,0.0,0.0,0.0
HumanEval/68,0.0,10.0,10.0
HumanEval/93,0.0,0.0,0.0
HumanEval/106,0.0,0.0,0.0
HumanEval/120,0.0,0.0,0.0
HumanEval/104,-10.0,0.0,10.0
HumanEval/77,-10.0,0.0,10.0
HumanEval/10,-10.0,0.0,10.0
HumanEval/155,-10.0,30.0,40.0
HumanEval/105,-10.0,0.0,10.0
HumanEval/71,-10.0,0.0,10.0
HumanEval/3,-10.0,90.0,100.0
HumanEval/56,-10.0,80.0,90.0
HumanEval/50,-10.0,50.0,60.0
HumanEval/43,-10.0,60.0,70.0
HumanEval/156,-20.0,0.0,20.0
HumanEval/40,-20.0,70.0,90.0
HumanEval/82,-20.0,0.0,20.0
HumanEval/8,-20.0,40.0,60.0
HumanEval/98,-20.0,40.0,60.0
HumanEval/4,-30.0,10.0,40.0
HumanEval/159,-30.0,0.0,30.0
HumanEval/114,-30.0,50.0,80.0
HumanEval/151,-60.0,10.0,70.0
HumanEval/57,-70.0,30.0,100.0
