task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/104,edit,HumanEval/104,0.30,0.92,1.00,0.30
HumanEval/36,edit,HumanEval/104,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/104,0.40,0.98,1.00,0.40
HumanEval/84,edit,HumanEval/104,0.70,1.00,1.00,0.70
HumanEval/124,edit,HumanEval/104,0.40,0.98,1.00,0.40
HumanEval/155,edit,HumanEval/104,0.10,0.50,1.00,0.10
HumanEval/116,edit,HumanEval/104,0.70,1.00,1.00,0.70
HumanEval/19,edit,HumanEval/104,0.00,0.00,0.00,0.00
HumanEval/117,edit,HumanEval/104,0.10,0.50,1.00,0.10
HumanEval/147,edit,HumanEval/104,0.30,0.92,1.00,0.30
HumanEval/110,edit,HumanEval/104,0.00,0.00,0.00,0.00
HumanEval/46,edit,HumanEval/104,0.20,0.78,1.00,0.20
HumanEval/36,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/104,edit,HumanEval/36,0.30,0.92,1.00,0.30
HumanEval/157,edit,HumanEval/36,0.70,1.00,1.00,0.70
HumanEval/84,edit,HumanEval/36,0.60,1.00,1.00,0.60
HumanEval/124,edit,HumanEval/36,0.30,0.92,1.00,0.30
HumanEval/155,edit,HumanEval/36,0.20,0.78,1.00,0.20
HumanEval/116,edit,HumanEval/36,0.40,0.98,1.00,0.40
HumanEval/19,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/117,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/147,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/110,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/46,edit,HumanEval/36,0.40,0.98,1.00,0.40
HumanEval/157,edit,HumanEval/157,0.40,0.98,1.00,0.40
HumanEval/104,edit,HumanEval/157,0.10,0.50,1.00,0.10
HumanEval/36,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/84,edit,HumanEval/157,0.80,1.00,1.00,0.80
HumanEval/124,edit,HumanEval/157,0.50,1.00,1.00,0.50
HumanEval/155,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/116,edit,HumanEval/157,0.50,1.00,1.00,0.50
HumanEval/19,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/117,edit,HumanEval/157,0.40,0.98,1.00,0.40
HumanEval/147,edit,HumanEval/157,0.10,0.50,1.00,0.10
HumanEval/110,edit,HumanEval/157,0.10,0.50,1.00,0.10
HumanEval/46,edit,HumanEval/157,0.20,0.78,1.00,0.20
HumanEval/84,edit,HumanEval/84,0.60,1.00,1.00,0.60
HumanEval/104,edit,HumanEval/84,0.40,0.98,1.00,0.40
HumanEval/36,edit,HumanEval/84,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/84,0.60,1.00,1.00,0.60
HumanEval/124,edit,HumanEval/84,0.60,1.00,1.00,0.60
HumanEval/155,edit,HumanEval/84,0.00,0.00,0.00,0.00
HumanEval/116,edit,HumanEval/84,0.50,1.00,1.00,0.50
HumanEval/19,edit,HumanEval/84,0.00,0.00,0.00,0.00
HumanEval/117,edit,HumanEval/84,0.30,0.92,1.00,0.30
HumanEval/147,edit,HumanEval/84,0.10,0.50,1.00,0.10
HumanEval/110,edit,HumanEval/84,0.00,0.00,0.00,0.00
HumanEval/46,edit,HumanEval/84,0.60,1.00,1.00,0.60
HumanEval/124,edit,HumanEval/124,0.30,0.92,1.00,0.30
HumanEval/104,edit,HumanEval/124,0.30,0.92,1.00,0.30
HumanEval/36,edit,HumanEval/124,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/124,0.60,1.00,1.00,0.60
HumanEval/84,edit,HumanEval/124,1.00,1.00,1.00,1.00
HumanEval/155,edit,HumanEval/124,0.20,0.78,1.00,0.20
HumanEval/116,edit,HumanEval/124,0.50,1.00,1.00,0.50
HumanEval/19,edit,HumanEval/124,0.00,0.00,0.00,0.00
HumanEval/117,edit,HumanEval/124,0.10,0.50,1.00,0.10
HumanEval/147,edit,HumanEval/124,0.30,0.92,1.00,0.30
HumanEval/110,edit,HumanEval/124,0.00,0.00,0.00,0.00
