task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/159,edit,HumanEval/159,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/159,0.50,1.00,1.00,0.50
HumanEval/148,edit,HumanEval/159,0.60,1.00,1.00,0.60
HumanEval/117,edit,HumanEval/159,0.20,0.78,1.00,0.20
HumanEval/104,edit,HumanEval/159,0.20,0.78,1.00,0.20
HumanEval/124,edit,HumanEval/159,0.10,0.50,1.00,0.10
HumanEval/157,edit,HumanEval/159,0.50,1.00,1.00,0.50
HumanEval/5,edit,HumanEval/159,0.60,1.00,1.00,0.60
HumanEval/138,edit,HumanEval/159,0.30,0.92,1.00,0.30
HumanEval/135,edit,HumanEval/159,0.40,0.98,1.00,0.40
HumanEval/46,edit,HumanEval/159,0.10,0.50,1.00,0.10
HumanEval/36,edit,HumanEval/159,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/6,0.60,1.00,1.00,0.60
HumanEval/159,edit,HumanEval/6,0.10,0.50,1.00,0.10
HumanEval/148,edit,HumanEval/6,0.40,0.98,1.00,0.40
HumanEval/117,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/104,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/124,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/6,0.70,1.00,1.00,0.70
HumanEval/5,edit,HumanEval/6,0.60,1.00,1.00,0.60
HumanEval/138,edit,HumanEval/6,0.40,0.98,1.00,0.40
HumanEval/135,edit,HumanEval/6,0.20,0.78,1.00,0.20
HumanEval/46,edit,HumanEval/6,0.20,0.78,1.00,0.20
HumanEval/36,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/148,edit,HumanEval/148,0.20,0.78,1.00,0.20
HumanEval/159,edit,HumanEval/148,0.10,0.50,1.00,0.10
HumanEval/6,edit,HumanEval/148,0.40,0.98,1.00,0.40
HumanEval/117,edit,HumanEval/148,0.10,0.50,1.00,0.10
HumanEval/104,edit,HumanEval/148,0.20,0.78,1.00,0.20
HumanEval/124,edit,HumanEval/148,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/148,0.70,1.00,1.00,0.70
HumanEval/5,edit,HumanEval/148,0.20,0.78,1.00,0.20
HumanEval/138,edit,HumanEval/148,0.50,1.00,1.00,0.50
HumanEval/135,edit,HumanEval/148,0.30,0.92,1.00,0.30
HumanEval/46,edit,HumanEval/148,0.30,0.92,1.00,0.30
HumanEval/36,edit,HumanEval/148,0.00,0.00,0.00,0.00
