task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/104,edit,HumanEval/104,0.30,0.92,1.00,0.30
HumanEval/97,edit,HumanEval/104,0.60,1.00,1.00,0.60
HumanEval/161,edit,HumanEval/104,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/104,0.20,0.78,1.00,0.20
HumanEval/98,edit,HumanEval/104,0.40,0.98,1.00,0.40
HumanEval/157,edit,HumanEval/104,0.40,0.98,1.00,0.40
HumanEval/36,edit,HumanEval/104,0.50,1.00,1.00,0.50
HumanEval/97,edit,HumanEval/97,0.90,1.00,1.00,0.90
HumanEval/104,edit,HumanEval/97,0.10,0.50,1.00,0.10
HumanEval/161,edit,HumanEval/97,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/97,0.10,0.50,1.00,0.10
HumanEval/98,edit,HumanEval/97,0.60,1.00,1.00,0.60
HumanEval/157,edit,HumanEval/97,0.50,1.00,1.00,0.50
HumanEval/36,edit,HumanEval/97,0.40,0.98,1.00,0.40
HumanEval/161,edit,HumanEval/161,0.00,0.00,0.00,0.00
HumanEval/104,edit,HumanEval/161,0.20,0.78,1.00,0.20
HumanEval/97,edit,HumanEval/161,1.00,1.00,1.00,1.00
HumanEval/155,edit,HumanEval/161,0.00,0.00,0.00,0.00
HumanEval/98,edit,HumanEval/161,0.50,1.00,1.00,0.50
HumanEval/157,edit,HumanEval/161,0.40,0.98,1.00,0.40
HumanEval/36,edit,HumanEval/161,0.40,0.98,1.00,0.40
HumanEval/155,edit,HumanEval/155,0.20,0.78,1.00,0.20
HumanEval/104,edit,HumanEval/155,0.30,0.92,1.00,0.30
HumanEval/97,edit,HumanEval/155,0.60,1.00,1.00,0.60
HumanEval/161,edit,HumanEval/155,0.00,0.00,0.00,0.00
HumanEval/98,edit,HumanEval/155,0.50,1.00,1.00,0.50
HumanEval/157,edit,HumanEval/155,0.30,0.92,1.00,0.30
HumanEval/36,edit,HumanEval/155,0.60,1.00,1.00,0.60
HumanEval/98,edit,HumanEval/98,0.30,0.92,1.00,0.30
HumanEval/104,edit,HumanEval/98,0.30,0.92,1.00,0.30
HumanEval/97,edit,HumanEval/98,1.00,1.00,1.00,1.00
HumanEval/161,edit,HumanEval/98,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/98,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/98,0.30,0.92,1.00,0.30
HumanEval/36,edit,HumanEval/98,0.40,0.98,1.00,0.40
HumanEval/157,edit,HumanEval/157,0.20,0.78,1.00,0.20
HumanEval/104,edit,HumanEval/157,0.30,0.92,1.00,0.30
HumanEval/97,edit,HumanEval/157,0.90,1.00,1.00,0.90
HumanEval/161,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/157,0.20,0.78,1.00,0.20
HumanEval/98,edit,HumanEval/157,0.60,1.00,1.00,0.60
HumanEval/36,edit,HumanEval/157,0.40,0.98,1.00,0.40
HumanEval/36,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/104,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/97,edit,HumanEval/36,0.70,1.00,1.00,0.70
HumanEval/161,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/36,0.30,0.92,1.00,0.30
HumanEval/98,edit,HumanEval/36,0.40,0.98,1.00,0.40
HumanEval/157,edit,HumanEval/36,0.50,1.00,1.00,0.50
