task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/44,edit,HumanEval/44,0.80,1.00,1.00,0.80
HumanEval/36,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/44,0.90,1.00,1.00,0.90
HumanEval/122,edit,HumanEval/44,0.40,0.98,1.00,0.40
HumanEval/147,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/110,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/44,0.40,0.98,1.00,0.40
HumanEval/112,edit,HumanEval/44,0.90,1.00,1.00,0.90
HumanEval/144,edit,HumanEval/44,0.40,0.98,1.00,0.40
HumanEval/161,edit,HumanEval/44,0.10,0.50,1.00,0.10
HumanEval/17,edit,HumanEval/44,0.30,0.92,1.00,0.30
HumanEval/104,edit,HumanEval/44,0.50,1.00,1.00,0.50
HumanEval/36,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/44,edit,HumanEval/36,0.70,1.00,1.00,0.70
HumanEval/157,edit,HumanEval/36,0.70,1.00,1.00,0.70
HumanEval/122,edit,HumanEval/36,0.50,1.00,1.00,0.50
HumanEval/147,edit,HumanEval/36,0.60,1.00,1.00,0.60
HumanEval/110,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/135,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/113,edit,HumanEval/36,0.20,0.78,1.00,0.20
HumanEval/112,edit,HumanEval/36,0.90,1.00,1.00,0.90
HumanEval/144,edit,HumanEval/36,0.60,1.00,1.00,0.60
HumanEval/161,edit,HumanEval/36,0.60,1.00,1.00,0.60
HumanEval/17,edit,HumanEval/36,0.30,0.92,1.00,0.30
HumanEval/104,edit,HumanEval/36,0.40,0.98,1.00,0.40
HumanEval/157,edit,HumanEval/157,0.50,1.00,1.00,0.50
HumanEval/44,edit,HumanEval/157,0.80,1.00,1.00,0.80
HumanEval/36,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/122,edit,HumanEval/157,0.70,1.00,1.00,0.70
HumanEval/147,edit,HumanEval/157,0.20,0.78,1.00,0.20
HumanEval/110,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/157,0.10,0.50,1.00,0.10
HumanEval/112,edit,HumanEval/157,0.80,1.00,1.00,0.80
HumanEval/144,edit,HumanEval/157,0.30,0.92,1.00,0.30
HumanEval/161,edit,HumanEval/157,0.50,1.00,1.00,0.50
HumanEval/17,edit,HumanEval/157,0.30,0.92,1.00,0.30
HumanEval/104,edit,HumanEval/157,0.00,0.00,0.00,0.00
HumanEval/122,edit,HumanEval/122,0.30,0.92,1.00,0.30
HumanEval/44,edit,HumanEval/122,0.70,1.00,1.00,0.70
HumanEval/36,edit,HumanEval/122,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/122,0.50,1.00,1.00,0.50
HumanEval/147,edit,HumanEval/122,0.40,0.98,1.00,0.40
HumanEval/110,edit,HumanEval/122,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/122,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/122,0.10,0.50,1.00,0.10
HumanEval/112,edit,HumanEval/122,0.80,1.00,1.00,0.80
HumanEval/144,edit,HumanEval/122,0.30,0.92,1.00,0.30
HumanEval/161,edit,HumanEval/122,0.50,1.00,1.00,0.50
HumanEval/17,edit,HumanEval/122,0.60,1.00,1.00,0.60
HumanEval/104,edit,HumanEval/122,0.10,0.50,1.00,0.10
HumanEval/147,edit,HumanEval/147,0.10,0.50,1.00,0.10
HumanEval/44,edit,HumanEval/147,0.60,1.00,1.00,0.60
HumanEval/36,edit,HumanEval/147,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/147,0.60,1.00,1.00,0.60
HumanEval/122,edit,HumanEval/147,0.30,0.92,1.00,0.30
HumanEval/110,edit,HumanEval/147,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/147,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/147,0.20,0.78,1.00,0.20
HumanEval/112,edit,HumanEval/147,1.00,1.00,1.00,1.00
HumanEval/144,edit,HumanEval/147,0.40,0.98,1.00,0.40
HumanEval/161,edit,HumanEval/147,0.30,0.92,1.00,0.30
HumanEval/17,edit,HumanEval/147,0.30,0.92,1.00,0.30
HumanEval/104,edit,HumanEval/147,0.30,0.92,1.00,0.30
HumanEval/110,edit,HumanEval/110,0.00,0.00,0.00,0.00
HumanEval/44,edit,HumanEval/110,0.80,1.00,1.00,0.80
HumanEval/36,edit,HumanEval/110,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/110,0.80,1.00,1.00,0.80
HumanEval/122,edit,HumanEval/110,0.30,0.92,1.00,0.30
HumanEval/147,edit,HumanEval/110,0.10,0.50,1.00,0.10
HumanEval/135,edit,HumanEval/110,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/110,0.20,0.78,1.00,0.20
HumanEval/112,edit,HumanEval/110,0.90,1.00,1.00,0.90
HumanEval/144,edit,HumanEval/110,0.20,0.78,1.00,0.20
HumanEval/161,edit,HumanEval/110,0.20,0.78,1.00,0.20
HumanEval/17,edit,HumanEval/110,0.40,0.98,1.00,0.40
HumanEval/104,edit,HumanEval/110,0.20,0.78,1.00,0.20
HumanEval/135,edit,HumanEval/135,0.80,1.00,1.00,0.80
HumanEval/44,edit,HumanEval/135,0.40,0.98,1.00,0.40
HumanEval/36,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/135,0.60,1.00,1.00,0.60
HumanEval/122,edit,HumanEval/135,0.50,1.00,1.00,0.50
HumanEval/147,edit,HumanEval/135,0.50,1.00,1.00,0.50
HumanEval/110,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/135,0.20,0.78,1.00,0.20
HumanEval/112,edit,HumanEval/135,0.90,1.00,1.00,0.90
HumanEval/144,edit,HumanEval/135,0.70,1.00,1.00,0.70
HumanEval/161,edit,HumanEval/135,0.30,0.92,1.00,0.30
HumanEval/17,edit,HumanEval/135,0.40,0.98,1.00,0.40
HumanEval/104,edit,HumanEval/135,0.30,0.92,1.00,0.30
HumanEval/113,edit,HumanEval/113,0.30,0.92,1.00,0.30
HumanEval/44,edit,HumanEval/113,0.70,1.00,1.00,0.70
HumanEval/36,edit,HumanEval/113,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/113,0.40,0.98,1.00,0.40
HumanEval/122,edit,HumanEval/113,0.50,1.00,1.00,0.50
HumanEval/147,edit,HumanEval/113,0.40,0.98,1.00,0.40
HumanEval/110,edit,HumanEval/113,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/113,0.00,0.00,0.00,0.00
HumanEval/112,edit,HumanEval/113,0.60,1.00,1.00,0.60
HumanEval/144,edit,HumanEval/113,0.90,1.00,1.00,0.90
HumanEval/161,edit,HumanEval/113,0.20,0.78,1.00,0.20
HumanEval/17,edit,HumanEval/113,0.30,0.92,1.00,0.30
HumanEval/104,edit,HumanEval/113,0.10,0.50,1.00,0.10
HumanEval/112,edit,HumanEval/112,0.70,1.00,1.00,0.70
HumanEval/44,edit,HumanEval/112,0.70,1.00,1.00,0.70
HumanEval/36,edit,HumanEval/112,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/112,0.40,0.98,1.00,0.40
HumanEval/122,edit,HumanEval/112,0.70,1.00,1.00,0.70
HumanEval/147,edit,HumanEval/112,0.10,0.50,1.00,0.10
HumanEval/110,edit,HumanEval/112,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/112,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/112,0.30,0.92,1.00,0.30
HumanEval/144,edit,HumanEval/112,0.50,1.00,1.00,0.50
HumanEval/161,edit,HumanEval/112,0.40,0.98,1.00,0.40
HumanEval/17,edit,HumanEval/112,0.20,0.78,1.00,0.20
HumanEval/104,edit,HumanEval/112,0.30,0.92,1.00,0.30
HumanEval/144,edit,HumanEval/144,0.40,0.98,1.00,0.40
HumanEval/44,edit,HumanEval/144,0.90,1.00,1.00,0.90
HumanEval/36,edit,HumanEval/144,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/144,0.20,0.78,1.00,0.20
HumanEval/122,edit,HumanEval/144,0.50,1.00,1.00,0.50
HumanEval/147,edit,HumanEval/144,0.30,0.92,1.00,0.30
HumanEval/110,edit,HumanEval/144,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/144,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/144,0.10,0.50,1.00,0.10
HumanEval/112,edit,HumanEval/144,0.90,1.00,1.00,0.90
HumanEval/161,edit,HumanEval/144,0.50,1.00,1.00,0.50
HumanEval/17,edit,HumanEval/144,0.00,0.00,0.00,0.00
HumanEval/104,edit,HumanEval/144,0.00,0.00,0.00,0.00
HumanEval/161,edit,HumanEval/161,1.00,1.00,1.00,1.00
HumanEval/44,edit,HumanEval/161,0.70,1.00,1.00,0.70
HumanEval/36,edit,HumanEval/161,0.00,0.00,0.00,0.00
HumanEval/157,edit,HumanEval/161,0.10,0.50,1.00,0.10
HumanEval/122,edit,HumanEval/161,0.50,1.00,1.00,0.50
HumanEval/147,edit,HumanEval/161,0.50,1.00,1.00,0.50
HumanEval/110,edit,HumanEval/161,0.20,0.78,1.00,0.20
HumanEval/135,edit,HumanEval/161,0.00,0.00,0.00,0.00
HumanEval/113,edit,HumanEval/161,0.20,0.78,1.00,0.20
