task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/135,edit,HumanEval/135,0.50,1.00,1.00,0.50
HumanEval/25,edit,HumanEval/135,0.70,1.00,1.00,0.70
HumanEval/44,edit,HumanEval/135,0.20,0.78,1.00,0.20
HumanEval/118,edit,HumanEval/135,0.90,1.00,1.00,0.90
HumanEval/148,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/36,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/135,0.40,0.98,1.00,0.40
HumanEval/62,edit,HumanEval/135,0.50,1.00,1.00,0.50
HumanEval/46,edit,HumanEval/135,0.90,1.00,1.00,0.90
HumanEval/81,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/25,edit,HumanEval/25,0.70,1.00,1.00,0.70
HumanEval/135,edit,HumanEval/25,0.40,0.98,1.00,0.40
HumanEval/44,edit,HumanEval/25,0.00,0.00,0.00,0.00
HumanEval/118,edit,HumanEval/25,0.90,1.00,1.00,0.90
HumanEval/148,edit,HumanEval/25,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/25,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/25,0.00,0.00,0.00,0.00
HumanEval/36,edit,HumanEval/25,0.90,1.00,1.00,0.90
HumanEval/13,edit,HumanEval/25,0.60,1.00,1.00,0.60
HumanEval/62,edit,HumanEval/25,0.30,0.92,1.00,0.30
HumanEval/46,edit,HumanEval/25,0.70,1.00,1.00,0.70
HumanEval/81,edit,HumanEval/25,0.00,0.00,0.00,0.00
HumanEval/44,edit,HumanEval/44,0.40,0.98,1.00,0.40
HumanEval/135,edit,HumanEval/44,0.10,0.50,1.00,0.10
HumanEval/25,edit,HumanEval/44,0.70,1.00,1.00,0.70
HumanEval/118,edit,HumanEval/44,0.80,1.00,1.00,0.80
HumanEval/148,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/36,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/44,0.70,1.00,1.00,0.70
HumanEval/62,edit,HumanEval/44,0.50,1.00,1.00,0.50
HumanEval/46,edit,HumanEval/44,1.00,1.00,1.00,1.00
HumanEval/81,edit,HumanEval/44,0.00,0.00,0.00,0.00
HumanEval/118,edit,HumanEval/118,0.90,1.00,1.00,0.90
HumanEval/135,edit,HumanEval/118,0.20,0.78,1.00,0.20
HumanEval/25,edit,HumanEval/118,0.70,1.00,1.00,0.70
HumanEval/44,edit,HumanEval/118,0.30,0.92,1.00,0.30
HumanEval/148,edit,HumanEval/118,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/118,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/118,0.20,0.78,1.00,0.20
HumanEval/36,edit,HumanEval/118,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/118,0.30,0.92,1.00,0.30
HumanEval/62,edit,HumanEval/118,0.50,1.00,1.00,0.50
HumanEval/46,edit,HumanEval/118,0.90,1.00,1.00,0.90
HumanEval/81,edit,HumanEval/118,0.00,0.00,0.00,0.00
HumanEval/148,edit,HumanEval/148,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/148,0.10,0.50,1.00,0.10
HumanEval/25,edit,HumanEval/148,0.80,1.00,1.00,0.80
HumanEval/44,edit,HumanEval/148,0.10,0.50,1.00,0.10
HumanEval/118,edit,HumanEval/148,0.80,1.00,1.00,0.80
HumanEval/40,edit,HumanEval/148,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/148,0.10,0.50,1.00,0.10
HumanEval/36,edit,HumanEval/148,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/148,0.40,0.98,1.00,0.40
HumanEval/62,edit,HumanEval/148,0.70,1.00,1.00,0.70
HumanEval/46,edit,HumanEval/148,0.50,1.00,1.00,0.50
HumanEval/81,edit,HumanEval/148,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/40,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/40,0.00,0.00,0.00,0.00
HumanEval/25,edit,HumanEval/40,0.30,0.92,1.00,0.30
HumanEval/44,edit,HumanEval/40,0.00,0.00,0.00,0.00
HumanEval/118,edit,HumanEval/40,0.80,1.00,1.00,0.80
HumanEval/148,edit,HumanEval/40,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/40,0.10,0.50,1.00,0.10
HumanEval/36,edit,HumanEval/40,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/40,0.40,0.98,1.00,0.40
HumanEval/62,edit,HumanEval/40,0.50,1.00,1.00,0.50
HumanEval/46,edit,HumanEval/40,0.50,1.00,1.00,0.50
HumanEval/81,edit,HumanEval/40,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/6,0.10,0.50,1.00,0.10
HumanEval/25,edit,HumanEval/6,0.40,0.98,1.00,0.40
HumanEval/44,edit,HumanEval/6,0.20,0.78,1.00,0.20
HumanEval/118,edit,HumanEval/6,0.90,1.00,1.00,0.90
HumanEval/148,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/36,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/6,0.60,1.00,1.00,0.60
HumanEval/62,edit,HumanEval/6,0.30,0.92,1.00,0.30
HumanEval/46,edit,HumanEval/6,0.90,1.00,1.00,0.90
HumanEval/81,edit,HumanEval/6,0.00,0.00,0.00,0.00
HumanEval/36,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/135,edit,HumanEval/36,0.20,0.78,1.00,0.20
HumanEval/25,edit,HumanEval/36,0.60,1.00,1.00,0.60
HumanEval/44,edit,HumanEval/36,0.10,0.50,1.00,0.10
HumanEval/118,edit,HumanEval/36,0.90,1.00,1.00,0.90
HumanEval/148,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/36,0.40,0.98,1.00,0.40
HumanEval/62,edit,HumanEval/36,0.40,0.98,1.00,0.40
HumanEval/46,edit,HumanEval/36,1.00,1.00,1.00,1.00
HumanEval/81,edit,HumanEval/36,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/13,0.40,0.98,1.00,0.40
HumanEval/135,edit,HumanEval/13,0.30,0.92,1.00,0.30
HumanEval/25,edit,HumanEval/13,0.30,0.92,1.00,0.30
HumanEval/44,edit,HumanEval/13,0.00,0.00,0.00,0.00
HumanEval/118,edit,HumanEval/13,1.00,1.00,1.00,1.00
HumanEval/148,edit,HumanEval/13,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/13,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/13,0.10,0.50,1.00,0.10
HumanEval/36,edit,HumanEval/13,0.00,0.00,0.00,0.00
HumanEval/62,edit,HumanEval/13,0.40,0.98,1.00,0.40
HumanEval/46,edit,HumanEval/13,0.90,1.00,1.00,0.90
HumanEval/81,edit,HumanEval/13,0.00,0.00,0.00,0.00
HumanEval/62,edit,HumanEval/62,0.30,0.92,1.00,0.30
HumanEval/135,edit,HumanEval/62,0.40,0.98,1.00,0.40
HumanEval/25,edit,HumanEval/62,0.90,1.00,1.00,0.90
HumanEval/44,edit,HumanEval/62,0.10,0.50,1.00,0.10
HumanEval/118,edit,HumanEval/62,0.80,1.00,1.00,0.80
HumanEval/148,edit,HumanEval/62,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/62,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/62,0.10,0.50,1.00,0.10
HumanEval/36,edit,HumanEval/62,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/62,0.30,0.92,1.00,0.30
HumanEval/46,edit,HumanEval/62,0.80,1.00,1.00,0.80
HumanEval/81,edit,HumanEval/62,0.00,0.00,0.00,0.00
HumanEval/46,edit,HumanEval/46,0.50,1.00,1.00,0.50
HumanEval/135,edit,HumanEval/46,0.70,1.00,1.00,0.70
HumanEval/25,edit,HumanEval/46,0.60,1.00,1.00,0.60
HumanEval/44,edit,HumanEval/46,0.10,0.50,1.00,0.10
HumanEval/118,edit,HumanEval/46,0.90,1.00,1.00,0.90
HumanEval/148,edit,HumanEval/46,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/46,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/46,0.00,0.00,0.00,0.00
HumanEval/36,edit,HumanEval/46,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/46,0.40,0.98,1.00,0.40
HumanEval/62,edit,HumanEval/46,0.60,1.00,1.00,0.60
HumanEval/81,edit,HumanEval/46,0.00,0.00,0.00,0.00
HumanEval/81,edit,HumanEval/81,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/81,0.50,1.00,1.00,0.50
HumanEval/25,edit,HumanEval/81,0.70,1.00,1.00,0.70
HumanEval/44,edit,HumanEval/81,0.10,0.50,1.00,0.10
HumanEval/118,edit,HumanEval/81,0.70,1.00,1.00,0.70
HumanEval/148,edit,HumanEval/81,0.00,0.00,0.00,0.00
HumanEval/40,edit,HumanEval/81,0.00,0.00,0.00,0.00
HumanEval/6,edit,HumanEval/81,0.10,0.50,1.00,0.10
HumanEval/36,edit,HumanEval/81,0.00,0.00,0.00,0.00
HumanEval/13,edit,HumanEval/81,0.30,0.92,1.00,0.30
HumanEval/62,edit,HumanEval/81,0.20,0.78,1.00,0.20
HumanEval/46,edit,HumanEval/81,0.90,1.00,1.00,0.90
