task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
HumanEval/135,edit,HumanEval/135,0.10,0.50,1.00,0.10
HumanEval/110,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/135,0.00,0.00,0.00,0.00
HumanEval/147,edit,HumanEval/135,0.50,1.00,1.00,0.50
HumanEval/98,edit,HumanEval/135,0.80,1.00,1.00,0.80
HumanEval/156,edit,HumanEval/135,0.70,1.00,1.00,0.70
HumanEval/2,edit,HumanEval/135,0.90,1.00,1.00,0.90
HumanEval/97,edit,HumanEval/135,0.40,0.98,1.00,0.40
HumanEval/138,edit,HumanEval/135,0.90,1.00,1.00,0.90
HumanEval/104,edit,HumanEval/135,0.30,0.92,1.00,0.30
HumanEval/110,edit,HumanEval/110,0.00,0.00,0.00,0.00
HumanEval/135,edit,HumanEval/110,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/110,0.00,0.00,0.00,0.00
HumanEval/147,edit,HumanEval/110,0.50,1.00,1.00,0.50
HumanEval/98,edit,HumanEval/110,0.60,1.00,1.00,0.60
HumanEval/156,edit,HumanEval/110,0.60,1.00,1.00,0.60
HumanEval/2,edit,HumanEval/110,1.00,1.00,1.00,1.00
HumanEval/97,edit,HumanEval/110,0.30,0.92,1.00,0.30
HumanEval/138,edit,HumanEval/110,0.90,1.00,1.00,0.90
HumanEval/104,edit,HumanEval/110,0.40,0.98,1.00,0.40
HumanEval/155,edit,HumanEval/155,0.10,0.50,1.00,0.10
HumanEval/135,edit,HumanEval/155,0.00,0.00,0.00,0.00
HumanEval/110,edit,HumanEval/155,0.00,0.00,0.00,0.00
HumanEval/147,edit,HumanEval/155,0.40,0.98,1.00,0.40
HumanEval/98,edit,HumanEval/155,0.60,1.00,1.00,0.60
HumanEval/156,edit,HumanEval/155,0.70,1.00,1.00,0.70
HumanEval/2,edit,HumanEval/155,0.90,1.00,1.00,0.90
HumanEval/97,edit,HumanEval/155,0.20,0.78,1.00,0.20
HumanEval/138,edit,HumanEval/155,0.80,1.00,1.00,0.80
HumanEval/104,edit,HumanEval/155,0.40,0.98,1.00,0.40
HumanEval/147,edit,HumanEval/147,0.20,0.78,1.00,0.20
HumanEval/135,edit,HumanEval/147,0.20,0.78,1.00,0.20
HumanEval/110,edit,HumanEval/147,0.10,0.50,1.00,0.10
HumanEval/155,edit,HumanEval/147,0.00,0.00,0.00,0.00
HumanEval/98,edit,HumanEval/147,0.50,1.00,1.00,0.50
HumanEval/156,edit,HumanEval/147,0.80,1.00,1.00,0.80
HumanEval/2,edit,HumanEval/147,0.90,1.00,1.00,0.90
HumanEval/97,edit,HumanEval/147,0.10,0.50,1.00,0.10
HumanEval/138,edit,HumanEval/147,0.60,1.00,1.00,0.60
HumanEval/104,edit,HumanEval/147,0.30,0.92,1.00,0.30
HumanEval/98,edit,HumanEval/98,0.50,1.00,1.00,0.50
HumanEval/135,edit,HumanEval/98,0.00,0.00,0.00,0.00
HumanEval/110,edit,HumanEval/98,0.00,0.00,0.00,0.00
HumanEval/155,edit,HumanEval/98,0.00,0.00,0.00,0.00
HumanEval/147,edit,HumanEval/98,0.20,0.78,1.00,0.20
HumanEval/156,edit,HumanEval/98,0.80,1.00,1.00,0.80
HumanEval/2,edit,HumanEval/98,0.90,1.00,1.00,0.90
HumanEval/97,edit,HumanEval/98,0.80,1.00,1.00,0.80
HumanEval/138,edit,HumanEval/98,0.80,1.00,1.00,0.80
