task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
HumanEval/46,80.0,100.0,20.0
HumanEval/85,80.0,100.0,20.0
HumanEval/157,60.0,80.0,20.0
HumanEval/84,50.0,100.0,50.0
HumanEval/36,50.0,90.0,40.0
HumanEval/156,50.0,90.0,40.0
HumanEval/104,50.0,50.0,0.0
HumanEval/118,40.0,100.0,60.0
HumanEval/97,40.0,100.0,60.0
HumanEval/155,40.0,40.0,0.0
HumanEval/138,40.0,100.0,60.0
HumanEval/124,30.0,40.0,10.0
HumanEval/135,30.0,60.0,30.0
HumanEval/86,30.0,30.0,0.0
HumanEval/110,30.0,30.0,0.0
HumanEval/121,30.0,70.0,40.0
HumanEval/122,30.0,80.0,50.0
HumanEval/17,30.0,70.0,40.0
HumanEval/128,20.0,40.0,20.0
HumanEval/112,20.0,100.0,80.0
HumanEval/10,20.0,40.0,20.0
HumanEval/144,20.0,70.0,50.0
HumanEval/57,10.0,100.0,90.0
HumanEval/114,10.0,100.0,90.0
HumanEval/19,10.0,30.0,20.0
HumanEval/32,10.0,10.0,0.0
HumanEval/109,10.0,10.0,0.0
HumanEval/117,10.0,100.0,90.0
HumanEval/56,10.0,10.0,0.0
HumanEval/99,10.0,20.0,10.0
HumanEval/152,10.0,100.0,90.0
HumanEval/44,10.0,80.0,70.0
HumanEval/88,10.0,10.0,0.0
HumanEval/161,10.0,100.0,90.0
HumanEval/87,10.0,10.0,0.0
HumanEval/50,0.0,100.0,100.0
HumanEval/62,0.0,100.0,100.0
HumanEval/52,0.0,100.0,100.0
HumanEval/20,0.0,10.0,10.0
HumanEval/143,0.0,0.0,0.0
HumanEval/139,0.0,0.0,0.0
HumanEval/60,0.0,100.0,100.0
HumanEval/4,0.0,100.0,100.0
HumanEval/146,0.0,0.0,0.0
HumanEval/150,0.0,0.0,0.0
HumanEval/95,0.0,0.0,0.0
HumanEval/127,0.0,0.0,0.0
HumanEval/137,0.0,0.0,0.0
HumanEval/55,0.0,100.0,100.0
HumanEval/75,0.0,0.0,0.0
HumanEval/148,0.0,100.0,100.0
HumanEval/25,0.0,100.0,100.0
HumanEval/93,0.0,0.0,0.0
HumanEval/30,0.0,100.0,100.0
HumanEval/126,0.0,0.0,0.0
HumanEval/43,0.0,100.0,100.0
HumanEval/58,0.0,100.0,100.0
HumanEval/119,0.0,0.0,0.0
HumanEval/48,0.0,100.0,100.0
HumanEval/92,0.0,100.0,100.0
HumanEval/34,0.0,100.0,100.0
HumanEval/96,0.0,0.0,0.0
HumanEval/49,0.0,100.0,100.0
HumanEval/120,0.0,0.0,0.0
HumanEval/140,0.0,0.0,0.0
HumanEval/89,0.0,10.0,10.0
HumanEval/38,0.0,100.0,100.0
HumanEval/40,0.0,100.0,100.0
HumanEval/76,0.0,10.0,10.0
HumanEval/5,0.0,70.0,70.0
HumanEval/68,0.0,0.0,0.0
HumanEval/108,0.0,0.0,0.0
HumanEval/74,0.0,0.0,0.0
HumanEval/72,0.0,0.0,0.0
HumanEval/70,0.0,20.0,20.0
HumanEval/53,0.0,100.0,100.0
HumanEval/22,0.0,100.0,100.0
HumanEval/141,0.0,0.0,0.0
HumanEval/31,0.0,100.0,100.0
HumanEval/132,0.0,0.0,0.0
HumanEval/129,0.0,0.0,0.0
HumanEval/35,0.0,100.0,100.0
HumanEval/21,0.0,80.0,80.0
HumanEval/134,0.0,0.0,0.0
HumanEval/2,0.0,100.0,100.0
HumanEval/64,0.0,0.0,0.0
HumanEval/136,0.0,0.0,0.0
HumanEval/11,0.0,100.0,100.0
HumanEval/94,0.0,10.0,10.0
HumanEval/77,0.0,0.0,0.0
HumanEval/145,0.0,0.0,0.0
HumanEval/83,0.0,0.0,0.0
HumanEval/13,0.0,100.0,100.0
HumanEval/33,0.0,0.0,0.0
HumanEval/47,0.0,100.0,100.0
HumanEval/91,0.0,0.0,0.0
HumanEval/12,0.0,100.0,100.0
HumanEval/158,0.0,10.0,10.0
HumanEval/14,0.0,0.0,0.0
HumanEval/26,0.0,0.0,0.0
HumanEval/1,0.0,0.0,0.0
HumanEval/116,0.0,70.0,70.0
HumanEval/101,0.0,0.0,0.0
HumanEval/3,0.0,100.0,100.0
HumanEval/27,0.0,100.0,100.0
HumanEval/45,0.0,100.0,100.0
HumanEval/71,0.0,0.0,0.0
HumanEval/130,0.0,0.0,0.0
HumanEval/98,0.0,90.0,90.0
HumanEval/102,0.0,0.0,0.0
HumanEval/80,0.0,100.0,100.0
HumanEval/63,0.0,100.0,100.0
HumanEval/82,0.0,0.0,0.0
HumanEval/125,0.0,0.0,0.0
HumanEval/24,0.0,100.0,100.0
HumanEval/131,0.0,0.0,0.0
HumanEval/162,0.0,0.0,0.0
HumanEval/103,0.0,100.0,100.0
HumanEval/133,0.0,0.0,0.0
HumanEval/15,0.0,100.0,100.0
HumanEval/73,0.0,0.0,0.0
HumanEval/160,0.0,0.0,0.0
HumanEval/106,0.0,0.0,0.0
HumanEval/163,0.0,0.0,0.0
