task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
HumanEval/157,60.0,80.0,20.0
HumanEval/46,50.0,100.0,50.0
HumanEval/147,40.0,50.0,10.0
HumanEval/113,30.0,100.0,70.0
HumanEval/17,30.0,70.0,40.0
HumanEval/104,30.0,50.0,20.0
HumanEval/155,30.0,40.0,10.0
HumanEval/156,30.0,90.0,60.0
HumanEval/18,30.0,40.0,10.0
HumanEval/99,20.0,20.0,0.0
HumanEval/5,20.0,70.0,50.0
HumanEval/114,20.0,100.0,80.0
HumanEval/138,20.0,100.0,80.0
HumanEval/16,20.0,90.0,70.0
HumanEval/59,20.0,20.0,0.0
HumanEval/159,20.0,30.0,10.0
HumanEval/124,20.0,40.0,20.0
HumanEval/36,20.0,90.0,70.0
HumanEval/70,20.0,20.0,0.0
HumanEval/2,20.0,100.0,80.0
HumanEval/84,10.0,100.0,90.0
HumanEval/105,10.0,30.0,20.0
HumanEval/85,10.0,100.0,90.0
HumanEval/87,10.0,10.0,0.0
HumanEval/135,10.0,60.0,50.0
HumanEval/109,10.0,10.0,0.0
HumanEval/98,10.0,90.0,80.0
HumanEval/112,10.0,100.0,90.0
HumanEval/32,10.0,10.0,0.0
HumanEval/107,10.0,20.0,10.0
HumanEval/100,10.0,10.0,0.0
HumanEval/86,10.0,30.0,20.0
HumanEval/110,10.0,30.0,20.0
HumanEval/56,10.0,10.0,0.0
HumanEval/25,10.0,100.0,90.0
HumanEval/20,10.0,10.0,0.0
HumanEval/44,10.0,80.0,70.0
HumanEval/92,10.0,100.0,90.0
HumanEval/89,10.0,10.0,0.0
HumanEval/126,0.0,0.0,0.0
HumanEval/134,0.0,0.0,0.0
HumanEval/42,0.0,100.0,100.0
HumanEval/30,0.0,100.0,100.0
HumanEval/40,0.0,100.0,100.0
HumanEval/62,0.0,100.0,100.0
HumanEval/153,0.0,100.0,100.0
HumanEval/151,0.0,0.0,0.0
HumanEval/63,0.0,100.0,100.0
HumanEval/130,0.0,0.0,0.0
HumanEval/69,0.0,0.0,0.0
HumanEval/4,0.0,100.0,100.0
HumanEval/47,0.0,100.0,100.0
HumanEval/118,0.0,100.0,100.0
HumanEval/38,0.0,100.0,100.0
HumanEval/43,0.0,100.0,100.0
HumanEval/108,0.0,0.0,0.0
HumanEval/60,0.0,100.0,100.0
HumanEval/57,0.0,100.0,100.0
HumanEval/1,0.0,0.0,0.0
HumanEval/50,0.0,100.0,100.0
HumanEval/120,0.0,0.0,0.0
HumanEval/162,0.0,0.0,0.0
HumanEval/26,0.0,0.0,0.0
HumanEval/54,0.0,0.0,0.0
HumanEval/143,0.0,0.0,0.0
HumanEval/132,0.0,0.0,0.0
HumanEval/64,0.0,0.0,0.0
HumanEval/11,0.0,100.0,100.0
HumanEval/145,0.0,0.0,0.0
HumanEval/127,0.0,0.0,0.0
HumanEval/137,0.0,0.0,0.0
HumanEval/68,0.0,0.0,0.0
HumanEval/148,0.0,100.0,100.0
HumanEval/97,0.0,100.0,100.0
HumanEval/136,0.0,0.0,0.0
HumanEval/82,0.0,0.0,0.0
HumanEval/119,0.0,0.0,0.0
HumanEval/161,0.0,100.0,100.0
HumanEval/49,0.0,100.0,100.0
HumanEval/73,0.0,0.0,0.0
HumanEval/71,0.0,0.0,0.0
HumanEval/125,0.0,0.0,0.0
HumanEval/95,0.0,0.0,0.0
HumanEval/75,0.0,0.0,0.0
HumanEval/66,0.0,100.0,100.0
HumanEval/103,0.0,100.0,100.0
HumanEval/117,0.0,100.0,100.0
HumanEval/102,0.0,0.0,0.0
HumanEval/140,0.0,0.0,0.0
HumanEval/12,0.0,100.0,100.0
HumanEval/7,0.0,100.0,100.0
HumanEval/24,0.0,100.0,100.0
HumanEval/80,0.0,100.0,100.0
HumanEval/146,0.0,0.0,0.0
HumanEval/23,0.0,100.0,100.0
HumanEval/45,0.0,100.0,100.0
