task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
HumanEval/40,100.0,100.0,0.0
HumanEval/36,90.0,90.0,0.0
HumanEval/147,50.0,50.0,0.0
HumanEval/92,50.0,100.0,50.0
HumanEval/144,50.0,70.0,20.0
HumanEval/6,40.0,50.0,10.0
HumanEval/113,40.0,100.0,60.0
HumanEval/155,40.0,40.0,0.0
HumanEval/128,40.0,40.0,0.0
HumanEval/135,40.0,60.0,20.0
HumanEval/30,30.0,100.0,70.0
HumanEval/84,30.0,100.0,70.0
HumanEval/138,30.0,100.0,70.0
HumanEval/5,30.0,70.0,40.0
HumanEval/104,30.0,50.0,20.0
HumanEval/18,20.0,40.0,20.0
HumanEval/159,20.0,30.0,10.0
HumanEval/112,20.0,100.0,80.0
HumanEval/152,20.0,100.0,80.0
HumanEval/59,20.0,20.0,0.0
HumanEval/44,20.0,80.0,60.0
HumanEval/19,20.0,30.0,10.0
HumanEval/57,20.0,100.0,80.0
HumanEval/99,20.0,20.0,0.0
HumanEval/2,20.0,100.0,80.0
HumanEval/158,10.0,10.0,0.0
HumanEval/16,10.0,90.0,80.0
HumanEval/79,10.0,100.0,90.0
HumanEval/4,10.0,100.0,90.0
HumanEval/100,10.0,10.0,0.0
HumanEval/49,10.0,100.0,90.0
HumanEval/109,10.0,10.0,0.0
HumanEval/10,10.0,40.0,30.0
HumanEval/87,10.0,10.0,0.0
HumanEval/13,10.0,100.0,90.0
HumanEval/32,10.0,10.0,0.0
HumanEval/94,10.0,10.0,0.0
HumanEval/162,0.0,0.0,0.0
HumanEval/127,0.0,0.0,0.0
HumanEval/23,0.0,100.0,100.0
HumanEval/45,0.0,100.0,100.0
HumanEval/85,0.0,100.0,100.0
HumanEval/130,0.0,0.0,0.0
HumanEval/25,0.0,100.0,100.0
HumanEval/143,0.0,0.0,0.0
HumanEval/137,0.0,0.0,0.0
HumanEval/58,0.0,100.0,100.0
HumanEval/28,0.0,100.0,100.0
HumanEval/60,0.0,100.0,100.0
HumanEval/83,0.0,0.0,0.0
HumanEval/136,0.0,0.0,0.0
HumanEval/53,0.0,100.0,100.0
HumanEval/134,0.0,0.0,0.0
HumanEval/29,0.0,100.0,100.0
HumanEval/75,0.0,0.0,0.0
HumanEval/46,0.0,100.0,100.0
HumanEval/41,0.0,100.0,100.0
