task_id,pert_type,key_layer,model,dataset
HumanEval/128,A2,27,CodeLLaMA,HumanEval
HumanEval/142,A2,12,CodeLLaMA,HumanEval
HumanEval/74,A2,8,CodeLLaMA,HumanEval
HumanEval/79,A2,28,CodeLLaMA,HumanEval
HumanEval/98,A2,10,CodeLLaMA,HumanEval
HumanEval/136,A3,28,CodeLLaMA,HumanEval
HumanEval/43,A3,4,CodeLLaMA,HumanEval
HumanEval/5,A3,28,CodeLLaMA,HumanEval
HumanEval/121,A4,15,CodeLLaMA,HumanEval
HumanEval/128,A4,28,CodeLLaMA,HumanEval
HumanEval/5,A4,13,CodeLLaMA,HumanEval
HumanEval/74,A4,16,CodeLLaMA,HumanEval
HumanEval/136,D1,18,CodeLLaMA,HumanEval
HumanEval/152,D1,28,CodeLLaMA,HumanEval
HumanEval/46,D1,29,CodeLLaMA,HumanEval
HumanEval/5,D1,28,CodeLLaMA,HumanEval
HumanEval/74,D1,12,CodeLLaMA,HumanEval
HumanEval/79,D1,28,CodeLLaMA,HumanEval
HumanEval/97,D1,10,CodeLLaMA,HumanEval
HumanEval/117,D2,28,CodeLLaMA,HumanEval
HumanEval/142,D2,23,CodeLLaMA,HumanEval
HumanEval/43,D2,30,CodeLLaMA,HumanEval
HumanEval/51,D2,28,CodeLLaMA,HumanEval
HumanEval/74,D2,15,CodeLLaMA,HumanEval
HumanEval/79,D2,27,CodeLLaMA,HumanEval
HumanEval/0,D3,16,CodeLLaMA,HumanEval
HumanEval/46,D3,28,CodeLLaMA,HumanEval
HumanEval/72,D3,28,CodeLLaMA,HumanEval
HumanEval/74,D3,7,CodeLLaMA,HumanEval
HumanEval/136,D4,18,CodeLLaMA,HumanEval
HumanEval/142,D4,11,CodeLLaMA,HumanEval
HumanEval/74,D4,28,CodeLLaMA,HumanEval
HumanEval/98,D4,26,CodeLLaMA,HumanEval
HumanEval/128,E1,28,CodeLLaMA,HumanEval
HumanEval/136,E1,28,CodeLLaMA,HumanEval
HumanEval/155,E1,28,CodeLLaMA,HumanEval
HumanEval/5,E1,28,CodeLLaMA,HumanEval
HumanEval/66,E1,28,CodeLLaMA,HumanEval
HumanEval/74,E1,28,CodeLLaMA,HumanEval
HumanEval/79,E1,2,CodeLLaMA,HumanEval
HumanEval/89,E1,8,CodeLLaMA,HumanEval
HumanEval/97,E1,28,CodeLLaMA,HumanEval
HumanEval/136,E2,3,CodeLLaMA,HumanEval
HumanEval/43,E2,30,CodeLLaMA,HumanEval
HumanEval/5,E2,26,CodeLLaMA,HumanEval
HumanEval/79,E2,19,CodeLLaMA,HumanEval
HumanEval/97,E2,30,CodeLLaMA,HumanEval
HumanEval/136,E3,28,CodeLLaMA,HumanEval
HumanEval/5,E3,23,CodeLLaMA,HumanEval
HumanEval/79,E3,30,CodeLLaMA,HumanEval
HumanEval/136,E4,30,CodeLLaMA,HumanEval
HumanEval/142,E4,30,CodeLLaMA,HumanEval
HumanEval/43,E4,15,CodeLLaMA,HumanEval
HumanEval/5,E4,28,CodeLLaMA,HumanEval
HumanEval/128,E5,7,CodeLLaMA,HumanEval
HumanEval/136,E5,6,CodeLLaMA,HumanEval
HumanEval/142,E5,14,CodeLLaMA,HumanEval
HumanEval/5,E5,0,CodeLLaMA,HumanEval
HumanEval/66,E5,6,CodeLLaMA,HumanEval
HumanEval/74,E5,8,CodeLLaMA,HumanEval
HumanEval/79,E5,28,CodeLLaMA,HumanEval
HumanEval/89,E5,2,CodeLLaMA,HumanEval
HumanEval/97,E5,27,CodeLLaMA,HumanEval
HumanEval/136,E6,11,CodeLLaMA,HumanEval
HumanEval/142,E6,26,CodeLLaMA,HumanEval
HumanEval/79,E6,6,CodeLLaMA,HumanEval
HumanEval/5,S1,28,CodeLLaMA,HumanEval
HumanEval/79,S1,28,CodeLLaMA,HumanEval
HumanEval/89,S1,28,CodeLLaMA,HumanEval
HumanEval/97,S1,23,CodeLLaMA,HumanEval
HumanEval/142,S2,21,CodeLLaMA,HumanEval
HumanEval/5,S2,16,CodeLLaMA,HumanEval
HumanEval/74,S2,6,CodeLLaMA,HumanEval
HumanEval/9,S2,5,CodeLLaMA,HumanEval
HumanEval/97,S2,12,CodeLLaMA,HumanEval
HumanEval/0,P1,25,CodeLLaMA,HumanEval
HumanEval/117,P1,28,CodeLLaMA,HumanEval
HumanEval/128,P1,22,CodeLLaMA,HumanEval
HumanEval/136,P1,28,CodeLLaMA,HumanEval
HumanEval/43,P1,28,CodeLLaMA,HumanEval
HumanEval/49,P1,18,CodeLLaMA,HumanEval
HumanEval/56,P1,8,CodeLLaMA,HumanEval
HumanEval/61,P1,28,CodeLLaMA,HumanEval
HumanEval/66,P1,10,CodeLLaMA,HumanEval
HumanEval/89,P1,28,CodeLLaMA,HumanEval
HumanEval/117,P2,28,CodeLLaMA,HumanEval
HumanEval/46,P2,28,CodeLLaMA,HumanEval
HumanEval/5,P2,28,CodeLLaMA,HumanEval
HumanEval/8,P2,0,CodeLLaMA,HumanEval
HumanEval/117,C1,28,CodeLLaMA,HumanEval
HumanEval/128,C1,28,CodeLLaMA,HumanEval
HumanEval/136,C1,15,CodeLLaMA,HumanEval
HumanEval/74,C1,28,CodeLLaMA,HumanEval
HumanEval/8,C1,25,CodeLLaMA,HumanEval
HumanEval/89,C1,28,CodeLLaMA,HumanEval
HumanEval/117,C2,11,CodeLLaMA,HumanEval
HumanEval/128,C2,22,CodeLLaMA,HumanEval
HumanEval/136,C2,28,CodeLLaMA,HumanEval
HumanEval/49,C2,11,CodeLLaMA,HumanEval
HumanEval/74,C2,28,CodeLLaMA,HumanEval
HumanEval/79,C2,28,CodeLLaMA,HumanEval
HumanEval/89,C2,0,CodeLLaMA,HumanEval
HumanEval/97,C2,28,CodeLLaMA,HumanEval
HumanEval/98,C2,28,CodeLLaMA,HumanEval
HumanEval/117,C3,13,CodeLLaMA,HumanEval
HumanEval/128,C3,28,CodeLLaMA,HumanEval
HumanEval/136,C3,11,CodeLLaMA,HumanEval
HumanEval/152,C3,9,CodeLLaMA,HumanEval
HumanEval/16,C3,7,CodeLLaMA,HumanEval
HumanEval/49,C3,28,CodeLLaMA,HumanEval
HumanEval/5,C3,23,CodeLLaMA,HumanEval
HumanEval/51,C3,28,CodeLLaMA,HumanEval
HumanEval/74,C3,28,CodeLLaMA,HumanEval
HumanEval/89,C3,7,CodeLLaMA,HumanEval
HumanEval/104,A2,17,Qwen,HumanEval
HumanEval/110,A2,18,Qwen,HumanEval
HumanEval/116,A2,5,Qwen,HumanEval
