task_id,layer,pass@1,pass@5,pass@10,pass_ratio,improvement
68,orig,0.40,0.98,1.00,0.40,
68,pert,0.60,1.00,1.00,0.60,
68,orig,0.80,1.00,1.00,0.80,
68,pert,0.70,1.00,1.00,0.70,
68,orig,0.70,1.00,1.00,0.70,
68,pert,0.40,0.98,1.00,0.40,
68,orig,0.70,1.00,1.00,0.70,
68,pert,0.20,0.78,1.00,0.20,
68,0,0.00,0.00,0.00,0.00,0
68,1,0.00,0.00,0.00,0.00,0
68,2,0.00,0.00,0.00,0.00,0
68,3,0.00,0.00,0.00,0.00,0
68,4,0.00,0.00,0.00,0.00,0
68,5,0.00,0.00,0.00,0.00,0
68,6,0.00,0.00,0.00,0.00,0
68,7,0.00,0.00,0.00,0.00,0
68,8,0.00,0.00,0.00,0.00,0
68,9,0.00,0.00,0.00,0.00,0
68,10,0.00,0.00,0.00,0.00,0
68,11,0.00,0.00,0.00,0.00,0
68,12,0.00,0.00,0.00,0.00,0
68,13,0.00,0.00,0.00,0.00,0
68,14,0.00,0.00,0.00,0.00,0
68,orig,1.00,nan,nan,1.00,
68,pert,0.00,nan,nan,0.00,
68,0,0.67,nan,nan,0.67,0.67
68,1,0.33,nan,nan,0.33,0.33
68,2,0.33,nan,nan,0.33,0.33
68,3,0.33,nan,nan,0.33,0.33
68,4,0.33,nan,nan,0.33,0.33
68,5,0.33,nan,nan,0.33,0.33
68,6,0.33,nan,nan,0.33,0.33
68,7,0.67,nan,nan,0.67,0.67
68,8,0.00,nan,nan,0.00,0.00
68,9,0.00,nan,nan,0.00,0.00
68,10,0.33,nan,nan,0.33,0.33
68,11,0.00,nan,nan,0.00,0.00
68,12,0.00,nan,nan,0.00,0.00
68,13,0.33,nan,nan,0.33,0.33
68,14,0.67,nan,nan,0.67,0.67
68,15,0.33,nan,nan,0.33,0.33
68,16,0.00,nan,nan,0.00,0.00
68,17,0.00,nan,nan,0.00,0.00
68,18,0.33,nan,nan,0.33,0.33
68,19,0.00,nan,nan,0.00,0.00
68,20,0.00,nan,nan,0.00,0.00
68,21,0.33,nan,nan,0.33,0.33
68,22,0.00,nan,nan,0.00,0.00
68,23,0.00,nan,nan,0.00,0.00
68,24,0.33,nan,nan,0.33,0.33
68,25,0.33,nan,nan,0.33,0.33
68,26,0.67,nan,nan,0.67,0.67
68,27,0.00,nan,nan,0.00,0.00
68,28,0.00,nan,nan,0.00,0.00
68,29,0.00,nan,nan,0.00,0.00
68,30,0.00,nan,nan,0.00,0.00
68,31,0.67,nan,nan,0.67,0.67
68,orig,0.50,1.00,1.00,0.50,
68,pert,0.40,0.98,1.00,0.40,
68,0,0.20,0.78,1.00,0.20,0
68,1,0.30,0.92,1.00,0.30,0
68,2,0.00,0.00,0.00,0.00,0
68,3,0.00,0.00,0.00,0.00,0
68,4,0.40,0.98,1.00,0.40,0.00
68,5,0.00,0.00,0.00,0.00,0
68,6,0.50,1.00,1.00,0.50,1.00
68,7,0.10,0.50,1.00,0.10,0
68,8,0.40,0.98,1.00,0.40,0.00
68,9,0.40,0.98,1.00,0.40,0.00
68,10,0.50,1.00,1.00,0.50,1.00
68,11,0.30,0.92,1.00,0.30,0
68,12,0.40,0.98,1.00,0.40,0.00
68,13,0.20,0.78,1.00,0.20,0
68,14,0.40,0.98,1.00,0.40,0.00
68,15,0.10,0.50,1.00,0.10,0
68,16,0.10,0.50,1.00,0.10,0
68,17,0.20,0.78,1.00,0.20,0
68,18,0.20,0.78,1.00,0.20,0
68,19,0.30,0.92,1.00,0.30,0
68,20,0.20,0.78,1.00,0.20,0
68,21,0.20,0.78,1.00,0.20,0
68,22,0.10,0.50,1.00,0.10,0
68,23,0.20,0.78,1.00,0.20,0
68,24,0.10,0.50,1.00,0.10,0
68,25,0.30,0.92,1.00,0.30,0
68,26,0.00,0.00,0.00,0.00,0
68,27,0.20,0.78,1.00,0.20,0
68,28,0.10,0.50,1.00,0.10,0
68,29,0.20,0.78,1.00,0.20,0
68,30,0.40,0.98,1.00,0.40,0.00
68,31,0.20,0.78,1.00,0.20,0
