task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
97,edit,97,0.70,1.00,1.00,0.70
130,edit,97,0.90,1.00,1.00,0.90
406,edit,97,0.30,0.92,1.00,0.30
559,edit,97,0.80,1.00,1.00,0.80
593,edit,97,0.40,0.98,1.00,0.40
598,edit,97,0.90,1.00,1.00,0.90
130,edit,130,0.90,1.00,1.00,0.90
97,edit,130,0.80,1.00,1.00,0.80
406,edit,130,0.20,0.78,1.00,0.20
559,edit,130,0.20,0.78,1.00,0.20
593,edit,130,0.30,0.92,1.00,0.30
598,edit,130,0.80,1.00,1.00,0.80
406,edit,406,0.30,0.92,1.00,0.30
97,edit,406,0.90,1.00,1.00,0.90
130,edit,406,0.60,1.00,1.00,0.60
559,edit,406,0.30,0.92,1.00,0.30
593,edit,406,0.50,1.00,1.00,0.50
598,edit,406,0.80,1.00,1.00,0.80
559,edit,559,0.40,0.98,1.00,0.40
97,edit,559,0.60,1.00,1.00,0.60
130,edit,559,0.70,1.00,1.00,0.70
406,edit,559,0.30,0.92,1.00,0.30
593,edit,559,0.30,0.92,1.00,0.30
598,edit,559,0.90,1.00,1.00,0.90
593,edit,593,0.20,0.78,1.00,0.20
97,edit,593,0.50,1.00,1.00,0.50
130,edit,593,0.70,1.00,1.00,0.70
406,edit,593,0.30,0.92,1.00,0.30
559,edit,593,0.50,1.00,1.00,0.50
598,edit,593,0.60,1.00,1.00,0.60
598,edit,598,0.70,1.00,1.00,0.70
97,edit,598,0.50,1.00,1.00,0.50
130,edit,598,0.80,1.00,1.00,0.80
406,edit,598,0.40,0.98,1.00,0.40
559,edit,598,0.30,0.92,1.00,0.30
593,edit,598,0.30,0.92,1.00,0.30
