task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
68,edit,68,0.10,0.50,1.00,0.10
162,edit,68,0.20,0.78,1.00,0.20
278,edit,68,0.10,0.50,1.00,0.10
471,edit,68,0.30,0.92,1.00,0.30
555,edit,68,0.50,1.00,1.00,0.50
593,edit,68,0.10,0.50,1.00,0.10
637,edit,68,0.50,1.00,1.00,0.50
724,edit,68,0.10,0.50,1.00,0.10
783,edit,68,0.20,0.78,1.00,0.20
162,edit,162,0.90,1.00,1.00,0.90
68,edit,162,0.30,0.92,1.00,0.30
278,edit,162,0.00,0.00,0.00,0.00
471,edit,162,0.10,0.50,1.00,0.10
555,edit,162,0.20,0.78,1.00,0.20
593,edit,162,0.10,0.50,1.00,0.10
637,edit,162,0.80,1.00,1.00,0.80
724,edit,162,0.80,1.00,1.00,0.80
783,edit,162,0.20,0.78,1.00,0.20
278,edit,278,0.10,0.50,1.00,0.10
68,edit,278,0.00,0.00,0.00,0.00
162,edit,278,0.70,1.00,1.00,0.70
471,edit,278,0.20,0.78,1.00,0.20
555,edit,278,0.40,0.98,1.00,0.40
593,edit,278,0.00,0.00,0.00,0.00
637,edit,278,0.60,1.00,1.00,0.60
724,edit,278,0.00,0.00,0.00,0.00
783,edit,278,0.00,0.00,0.00,0.00
471,edit,471,0.30,0.92,1.00,0.30
68,edit,471,0.00,0.00,0.00,0.00
162,edit,471,0.60,1.00,1.00,0.60
278,edit,471,0.10,0.50,1.00,0.10
555,edit,471,0.20,0.78,1.00,0.20
593,edit,471,0.10,0.50,1.00,0.10
637,edit,471,0.80,1.00,1.00,0.80
724,edit,471,0.30,0.92,1.00,0.30
783,edit,471,0.40,0.98,1.00,0.40
555,edit,555,0.40,0.98,1.00,0.40
68,edit,555,0.30,0.92,1.00,0.30
162,edit,555,0.70,1.00,1.00,0.70
278,edit,555,0.00,0.00,0.00,0.00
471,edit,555,0.30,0.92,1.00,0.30
593,edit,555,0.40,0.98,1.00,0.40
637,edit,555,0.60,1.00,1.00,0.60
724,edit,555,0.00,0.00,0.00,0.00
783,edit,555,0.30,0.92,1.00,0.30
593,edit,593,0.30,0.92,1.00,0.30
68,edit,593,0.00,0.00,0.00,0.00
162,edit,593,0.70,1.00,1.00,0.70
278,edit,593,0.10,0.50,1.00,0.10
471,edit,593,0.10,0.50,1.00,0.10
555,edit,593,0.50,1.00,1.00,0.50
637,edit,593,0.70,1.00,1.00,0.70
724,edit,593,0.10,0.50,1.00,0.10
783,edit,593,0.00,0.00,0.00,0.00
637,edit,637,0.80,1.00,1.00,0.80
68,edit,637,0.10,0.50,1.00,0.10
162,edit,637,0.60,1.00,1.00,0.60
278,edit,637,0.00,0.00,0.00,0.00
471,edit,637,0.20,0.78,1.00,0.20
555,edit,637,0.50,1.00,1.00,0.50
593,edit,637,0.30,0.92,1.00,0.30
724,edit,637,0.10,0.50,1.00,0.10
783,edit,637,0.30,0.92,1.00,0.30
724,edit,724,0.10,0.50,1.00,0.10
68,edit,724,0.00,0.00,0.00,0.00
162,edit,724,0.30,0.92,1.00,0.30
278,edit,724,0.00,0.00,0.00,0.00
471,edit,724,0.10,0.50,1.00,0.10
555,edit,724,0.30,0.92,1.00,0.30
593,edit,724,0.00,0.00,0.00,0.00
637,edit,724,0.90,1.00,1.00,0.90
783,edit,724,0.20,0.78,1.00,0.20
783,edit,783,0.60,1.00,1.00,0.60
68,edit,783,0.30,0.92,1.00,0.30
162,edit,783,0.80,1.00,1.00,0.80
278,edit,783,0.10,0.50,1.00,0.10
471,edit,783,0.00,0.00,0.00,0.00
555,edit,783,0.30,0.92,1.00,0.30
593,edit,783,0.00,0.00,0.00,0.00
637,edit,783,1.00,1.00,1.00,1.00
724,edit,783,0.00,0.00,0.00,0.00
