task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
69,edit,69,0.20,0.78,1.00,0.20
99,edit,69,0.60,1.00,1.00,0.60
165,edit,69,0.60,1.00,1.00,0.60
569,edit,69,0.00,0.00,0.00,0.00
637,edit,69,0.00,0.00,0.00,0.00
746,edit,69,0.70,1.00,1.00,0.70
750,edit,69,0.10,0.50,1.00,0.10
780,edit,69,1.00,1.00,1.00,1.00
801,edit,69,0.60,1.00,1.00,0.60
99,edit,99,0.10,0.50,1.00,0.10
69,edit,99,0.20,0.78,1.00,0.20
165,edit,99,0.50,1.00,1.00,0.50
569,edit,99,0.20,0.78,1.00,0.20
637,edit,99,0.00,0.00,0.00,0.00
746,edit,99,0.60,1.00,1.00,0.60
750,edit,99,0.20,0.78,1.00,0.20
780,edit,99,0.60,1.00,1.00,0.60
801,edit,99,0.70,1.00,1.00,0.70
165,edit,165,0.60,1.00,1.00,0.60
69,edit,165,0.30,0.92,1.00,0.30
99,edit,165,0.10,0.50,1.00,0.10
569,edit,165,0.10,0.50,1.00,0.10
637,edit,165,0.00,0.00,0.00,0.00
746,edit,165,0.80,1.00,1.00,0.80
750,edit,165,0.10,0.50,1.00,0.10
780,edit,165,0.90,1.00,1.00,0.90
801,edit,165,0.70,1.00,1.00,0.70
569,edit,569,0.00,0.00,0.00,0.00
69,edit,569,0.20,0.78,1.00,0.20
99,edit,569,0.50,1.00,1.00,0.50
165,edit,569,0.30,0.92,1.00,0.30
637,edit,569,0.00,0.00,0.00,0.00
746,edit,569,0.50,1.00,1.00,0.50
750,edit,569,0.10,0.50,1.00,0.10
780,edit,569,0.80,1.00,1.00,0.80
801,edit,569,0.50,1.00,1.00,0.50
637,edit,637,0.00,0.00,0.00,0.00
69,edit,637,0.40,0.98,1.00,0.40
99,edit,637,0.20,0.78,1.00,0.20
165,edit,637,0.60,1.00,1.00,0.60
569,edit,637,0.20,0.78,1.00,0.20
746,edit,637,0.10,0.50,1.00,0.10
750,edit,637,0.00,0.00,0.00,0.00
780,edit,637,0.90,1.00,1.00,0.90
801,edit,637,0.70,1.00,1.00,0.70
746,edit,746,0.70,1.00,1.00,0.70
69,edit,746,0.30,0.92,1.00,0.30
99,edit,746,0.10,0.50,1.00,0.10
165,edit,746,0.30,0.92,1.00,0.30
569,edit,746,0.30,0.92,1.00,0.30
637,edit,746,0.00,0.00,0.00,0.00
750,edit,746,0.20,0.78,1.00,0.20
780,edit,746,0.60,1.00,1.00,0.60
801,edit,746,0.60,1.00,1.00,0.60
750,edit,750,0.40,0.98,1.00,0.40
69,edit,750,0.20,0.78,1.00,0.20
99,edit,750,0.20,0.78,1.00,0.20
165,edit,750,0.30,0.92,1.00,0.30
569,edit,750,0.10,0.50,1.00,0.10
637,edit,750,0.00,0.00,0.00,0.00
746,edit,750,0.60,1.00,1.00,0.60
780,edit,750,0.80,1.00,1.00,0.80
801,edit,750,0.50,1.00,1.00,0.50
780,edit,780,0.60,1.00,1.00,0.60
69,edit,780,0.10,0.50,1.00,0.10
99,edit,780,0.20,0.78,1.00,0.20
165,edit,780,0.50,1.00,1.00,0.50
569,edit,780,0.40,0.98,1.00,0.40
637,edit,780,0.00,0.00,0.00,0.00
746,edit,780,0.40,0.98,1.00,0.40
750,edit,780,0.00,0.00,0.00,0.00
801,edit,780,0.60,1.00,1.00,0.60
801,edit,801,0.70,1.00,1.00,0.70
69,edit,801,0.00,0.00,0.00,0.00
99,edit,801,0.20,0.78,1.00,0.20
165,edit,801,0.30,0.92,1.00,0.30
569,edit,801,0.00,0.00,0.00,0.00
637,edit,801,0.00,0.00,0.00,0.00
746,edit,801,0.40,0.98,1.00,0.40
750,edit,801,0.20,0.78,1.00,0.20
780,edit,801,0.60,1.00,1.00,0.60
