task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
162,edit,162,0.90,1.00,1.00,0.90
446,edit,162,0.60,1.00,1.00,0.60
593,edit,162,0.40,0.98,1.00,0.40
607,edit,162,0.60,1.00,1.00,0.60
632,edit,162,0.20,0.78,1.00,0.20
764,edit,162,0.30,0.92,1.00,0.30
775,edit,162,0.30,0.92,1.00,0.30
783,edit,162,0.40,0.98,1.00,0.40
446,edit,446,0.80,1.00,1.00,0.80
162,edit,446,0.70,1.00,1.00,0.70
593,edit,446,0.30,0.92,1.00,0.30
607,edit,446,1.00,1.00,1.00,1.00
632,edit,446,0.40,0.98,1.00,0.40
764,edit,446,0.20,0.78,1.00,0.20
775,edit,446,0.30,0.92,1.00,0.30
783,edit,446,0.30,0.92,1.00,0.30
593,edit,593,0.00,0.00,0.00,0.00
162,edit,593,0.80,1.00,1.00,0.80
446,edit,593,0.80,1.00,1.00,0.80
607,edit,593,0.80,1.00,1.00,0.80
632,edit,593,0.40,0.98,1.00,0.40
764,edit,593,0.00,0.00,0.00,0.00
775,edit,593,0.40,0.98,1.00,0.40
783,edit,593,0.20,0.78,1.00,0.20
607,edit,607,1.00,1.00,1.00,1.00
162,edit,607,0.70,1.00,1.00,0.70
446,edit,607,0.80,1.00,1.00,0.80
593,edit,607,0.40,0.98,1.00,0.40
632,edit,607,0.40,0.98,1.00,0.40
764,edit,607,0.30,0.92,1.00,0.30
775,edit,607,0.20,0.78,1.00,0.20
783,edit,607,0.20,0.78,1.00,0.20
632,edit,632,0.40,0.98,1.00,0.40
162,edit,632,0.70,1.00,1.00,0.70
446,edit,632,0.80,1.00,1.00,0.80
593,edit,632,0.20,0.78,1.00,0.20
607,edit,632,0.90,1.00,1.00,0.90
764,edit,632,0.10,0.50,1.00,0.10
775,edit,632,0.60,1.00,1.00,0.60
783,edit,632,0.20,0.78,1.00,0.20
764,edit,764,0.10,0.50,1.00,0.10
162,edit,764,0.70,1.00,1.00,0.70
446,edit,764,0.90,1.00,1.00,0.90
593,edit,764,0.40,0.98,1.00,0.40
607,edit,764,1.00,1.00,1.00,1.00
632,edit,764,0.50,1.00,1.00,0.50
775,edit,764,0.70,1.00,1.00,0.70
783,edit,764,0.20,0.78,1.00,0.20
775,edit,775,0.40,0.98,1.00,0.40
162,edit,775,0.60,1.00,1.00,0.60
446,edit,775,0.80,1.00,1.00,0.80
593,edit,775,0.00,0.00,0.00,0.00
607,edit,775,0.80,1.00,1.00,0.80
632,edit,775,0.20,0.78,1.00,0.20
764,edit,775,0.60,1.00,1.00,0.60
783,edit,775,0.40,0.98,1.00,0.40
783,edit,783,0.40,0.98,1.00,0.40
162,edit,783,0.90,1.00,1.00,0.90
446,edit,783,0.60,1.00,1.00,0.60
593,edit,783,0.10,0.50,1.00,0.10
607,edit,783,0.70,1.00,1.00,0.70
632,edit,783,0.70,1.00,1.00,0.70
764,edit,783,0.30,0.92,1.00,0.30
775,edit,783,0.30,0.92,1.00,0.30
