task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
130,edit,130,0.80,1.00,1.00,0.80
162,edit,130,0.30,0.92,1.00,0.30
165,edit,130,0.00,0.00,0.00,0.00
249,edit,130,0.20,0.78,1.00,0.20
278,edit,130,0.20,0.78,1.00,0.20
297,edit,130,0.60,1.00,1.00,0.60
409,edit,130,0.30,0.92,1.00,0.30
460,edit,130,0.20,0.78,1.00,0.20
471,edit,130,0.50,1.00,1.00,0.50
569,edit,130,0.10,0.50,1.00,0.10
573,edit,130,0.10,0.50,1.00,0.10
737,edit,130,0.90,1.00,1.00,0.90
741,edit,130,0.40,0.98,1.00,0.40
744,edit,130,0.80,1.00,1.00,0.80
746,edit,130,0.50,1.00,1.00,0.50
750,edit,130,0.30,0.92,1.00,0.30
786,edit,130,0.40,0.98,1.00,0.40
791,edit,130,0.80,1.00,1.00,0.80
162,edit,162,0.60,1.00,1.00,0.60
130,edit,162,0.90,1.00,1.00,0.90
165,edit,162,0.00,0.00,0.00,0.00
249,edit,162,0.60,1.00,1.00,0.60
278,edit,162,0.10,0.50,1.00,0.10
297,edit,162,0.40,0.98,1.00,0.40
409,edit,162,0.10,0.50,1.00,0.10
460,edit,162,0.30,0.92,1.00,0.30
471,edit,162,0.30,0.92,1.00,0.30
569,edit,162,0.30,0.92,1.00,0.30
573,edit,162,0.00,0.00,0.00,0.00
165,edit,165,0.50,1.00,1.00,0.50
249,edit,165,0.40,0.98,1.00,0.40
278,edit,165,0.10,0.50,1.00,0.10
297,edit,165,0.30,0.92,1.00,0.30
409,edit,165,0.10,0.50,1.00,0.10
460,edit,165,0.20,0.78,1.00,0.20
471,edit,165,0.60,1.00,1.00,0.60
569,edit,165,0.00,0.00,0.00,0.00
573,edit,165,0.10,0.50,1.00,0.10
737,edit,165,1.00,1.00,1.00,1.00
741,edit,165,0.50,1.00,1.00,0.50
744,edit,165,0.40,0.98,1.00,0.40
746,edit,165,0.60,1.00,1.00,0.60
750,edit,165,0.20,0.78,1.00,0.20
786,edit,165,0.40,0.98,1.00,0.40
791,edit,165,0.70,1.00,1.00,0.70
249,edit,249,0.80,1.00,1.00,0.80
165,edit,249,0.00,0.00,0.00,0.00
278,edit,249,0.00,0.00,0.00,0.00
297,edit,249,0.60,1.00,1.00,0.60
409,edit,249,0.20,0.78,1.00,0.20
460,edit,249,0.40,0.98,1.00,0.40
471,edit,249,0.60,1.00,1.00,0.60
569,edit,249,0.10,0.50,1.00,0.10
573,edit,249,0.20,0.78,1.00,0.20
