task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
68,edit,68,0.40,0.98,1.00,0.40
165,edit,68,0.70,1.00,1.00,0.70
460,edit,68,0.70,1.00,1.00,0.70
556,edit,68,0.60,1.00,1.00,0.60
724,edit,68,0.40,0.98,1.00,0.40
750,edit,68,0.00,0.00,0.00,0.00
165,edit,165,1.00,1.00,1.00,1.00
68,edit,165,0.40,0.98,1.00,0.40
460,edit,165,0.20,0.78,1.00,0.20
556,edit,165,0.60,1.00,1.00,0.60
724,edit,165,0.10,0.50,1.00,0.10
750,edit,165,0.10,0.50,1.00,0.10
460,edit,460,0.80,1.00,1.00,0.80
68,edit,460,0.30,0.92,1.00,0.30
165,edit,460,0.90,1.00,1.00,0.90
556,edit,460,0.60,1.00,1.00,0.60
724,edit,460,0.20,0.78,1.00,0.20
750,edit,460,0.10,0.50,1.00,0.10
556,edit,556,0.20,0.78,1.00,0.20
68,edit,556,0.30,0.92,1.00,0.30
165,edit,556,0.70,1.00,1.00,0.70
460,edit,556,0.40,0.98,1.00,0.40
724,edit,556,0.40,0.98,1.00,0.40
750,edit,556,0.30,0.92,1.00,0.30
724,edit,724,0.20,0.78,1.00,0.20
68,edit,724,0.50,1.00,1.00,0.50
165,edit,724,0.90,1.00,1.00,0.90
460,edit,724,0.60,1.00,1.00,0.60
556,edit,724,0.60,1.00,1.00,0.60
750,edit,724,0.20,0.78,1.00,0.20
750,edit,750,0.50,1.00,1.00,0.50
68,edit,750,0.40,0.98,1.00,0.40
165,edit,750,0.90,1.00,1.00,0.90
460,edit,750,0.60,1.00,1.00,0.60
556,edit,750,0.50,1.00,1.00,0.50
724,edit,750,0.10,0.50,1.00,0.10
