task_id,n_edit_tasks,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
68,15,0.2333,0.764,1.0,0.2333
69,15,0.0067,0.0333,0.0667,0.0067
84,15,0.0,0.0,0.0,0.0
238,15,0.78,1.0,1.0,0.78
283,15,0.0133,0.0667,0.1333,0.0133
406,15,0.0867,0.404,0.7333,0.0867
453,15,0.54,0.9893,1.0,0.54
457,15,0.9267,1.0,1.0,0.9267
471,15,0.2667,0.7693,0.9333,0.2667
555,15,0.0467,0.1893,0.2667,0.0467
593,15,0.3133,0.852,0.9333,0.3133
737,15,0.7333,0.9947,1.0,0.7333
741,15,0.1733,0.6,0.8,0.1733
746,15,0.5733,0.9947,1.0,0.5733
783,15,0.32,0.8973,1.0,0.32
