task_id,n_edit_tasks,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,13,0.1462,0.5846,0.8462,0.1462
130,13,0.3462,0.8077,0.9231,0.3462
270,13,0.0385,0.1754,0.3077,0.0385
396,13,0.7077,0.9985,1.0,0.7077
397,13,0.2462,0.7477,0.9231,0.2462
412,13,0.7846,1.0,1.0,0.7846
428,13,0.6308,0.9662,1.0,0.6308
453,13,0.0385,0.1477,0.2308,0.0385
559,13,0.3769,0.9246,1.0,0.3769
724,13,0.4615,0.9385,1.0,0.4615
746,13,0.5308,0.9831,1.0,0.5308
780,13,0.4077,0.9262,1.0,0.4077
783,13,0.1308,0.4908,0.6923,0.1308
