task_id,n_edit_tasks,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
130,2,0.85,1.0,1.0,0.85
162,2,0.45,0.96,1.0,0.45
165,18,0.0389,0.1111,0.1667,0.0389
249,18,0.3889,0.9167,1.0,0.3889
278,18,0.0722,0.3244,0.5556,0.0722
297,18,0.5056,0.9833,1.0,0.5056
409,18,0.3389,0.8767,1.0,0.3389
460,18,0.3556,0.8767,1.0,0.3556
471,18,0.3944,0.9322,1.0,0.3944
569,18,0.1667,0.5789,0.8333,0.1667
573,18,0.0778,0.3322,0.5556,0.0778
737,17,0.5294,0.9706,1.0,0.5294
741,17,0.4176,0.9612,1.0,0.4176
744,17,0.6824,0.9976,1.0,0.6824
746,17,0.5353,0.9882,1.0,0.5353
750,17,0.2294,0.7212,0.9412,0.2294
786,17,0.4882,0.9835,1.0,0.4882
791,17,0.6118,0.9812,1.0,0.6118
