task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
737,50.0,100.0,50.0
278,45.0,65.0,20.0
460,40.0,100.0,60.0
746,35.0,85.0,50.0
783,35.0,50.0,15.0
97,30.0,75.0,45.0
162,30.0,95.0,65.0
724,30.0,50.0,20.0
791,30.0,95.0,65.0
69,25.0,35.0,10.0
627,25.0,95.0,70.0
750,25.0,50.0,25.0
764,25.0,50.0,25.0
89,20.0,100.0,80.0
294,20.0,20.0,0.0
559,20.0,40.0,20.0
583,20.0,25.0,5.0
610,20.0,25.0,5.0
638,20.0,95.0,75.0
780,20.0,85.0,65.0
109,15.000000000000007,55.00000000000001,40.0
555,15.000000000000007,55.00000000000001,40.0
71,15.0,100.0,85.0
79,15.0,75.0,60.0
102,15.0,100.0,85.0
556,15.0,50.0,35.0
562,15.0,95.0,80.0
569,15.0,40.0,25.0
585,15.0,45.0,30.0
598,15.0,90.0,75.0
804,15.0,20.0,5.0
397,10.000000000000007,55.00000000000001,45.0
57,10.0,15.0,5.0
74,10.0,20.0,10.0
99,10.0,30.0,20.0
103,10.0,15.0,5.0
129,10.0,10.0,0.0
166,10.0,25.0,15.0
249,10.0,70.0,60.0
406,10.0,35.0,25.0
412,10.0,100.0,90.0
445,10.0,10.0,0.0
452,10.0,20.0,10.0
722,10.0,80.0,70.0
772,10.0,100.0,90.0
775,10.0,75.0,65.0
787,10.0,20.0,10.0
793,10.0,20.0,10.0
794,10.0,10.0,0.0
68,5.000000000000007,55.00000000000001,50.0
7,5.0,100.0,95.0
65,5.0,95.0,90.0
72,5.0,10.0,5.0
93,5.0,90.0,85.0
96,5.0,90.0,85.0
111,5.0,85.0,80.0
126,5.0,10.0,5.0
141,5.0,10.0,5.0
170,5.0,100.0,95.0
226,5.0,5.0,0.0
228,5.0,10.0,5.0
230,5.0,10.0,5.0
238,5.0,90.0,85.0
240,5.0,80.0,75.0
246,5.0,25.0,20.0
251,5.0,40.0,35.0
252,5.0,100.0,95.0
276,5.0,95.0,90.0
300,5.0,5.0,0.0
307,5.0,10.0,5.0
391,5.0,5.0,0.0
396,5.0,100.0,95.0
408,5.0,10.0,5.0
455,5.0,90.0,85.0
558,5.0,100.0,95.0
564,5.0,100.0,95.0
589,5.0,10.0,5.0
594,5.0,5.0,0.0
620,5.0,10.0,5.0
733,5.0,5.0,0.0
748,5.0,5.0,0.0
752,5.0,20.0,15.0
766,5.0,100.0,95.0
767,5.0,85.0,80.0
773,5.0,100.0,95.0
779,5.0,75.0,70.0
788,5.0,95.0,90.0
809,5.0,10.0,5.0
2,0.0,100.0,100.0
3,0.0,100.0,100.0
4,0.0,0.0,0.0
6,0.0,0.0,0.0
8,0.0,100.0,100.0
9,0.0,0.0,0.0
11,0.0,0.0,0.0
14,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,100.0,100.0
18,0.0,0.0,0.0
19,0.0,100.0,100.0
20,0.0,5.0,5.0
56,0.0,0.0,0.0
58,0.0,100.0,100.0
59,0.0,0.0,0.0
61,0.0,25.0,25.0
62,0.0,100.0,100.0
63,0.0,0.0,0.0
66,0.0,100.0,100.0
67,0.0,0.0,0.0
70,0.0,0.0,0.0
75,0.0,100.0,100.0
77,0.0,100.0,100.0
80,0.0,55.00000000000001,55.00000000000001
82,0.0,100.0,100.0
83,0.0,0.0,0.0
84,0.0,100.0,100.0
85,0.0,100.0,100.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,100.0,100.0
90,0.0,100.0,100.0
