task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
84,100.0,100.0,0.0
470,70.0,100.0,30.0
460,50.0,100.0,50.0
783,50.0,50.0,0.0
397,35.00000000000001,55.00000000000001,20.0
555,35.00000000000001,55.00000000000001,20.0
593,35.00000000000001,55.00000000000001,20.0
585,35.0,45.0,10.0
252,30.0,100.0,70.0
724,30.0,50.0,20.0
737,30.0,100.0,70.0
764,30.0,50.0,20.0
111,25.0,85.0,60.0
479,25.0,45.0,20.0
583,25.0,25.0,0.0
607,25.0,95.0,70.0
610,25.0,25.0,0.0
784,25.0,35.0,10.0
791,25.0,95.0,70.0
99,20.0,30.0,10.0
102,20.0,100.0,80.0
569,20.0,40.0,20.0
722,20.0,80.0,60.0
787,20.0,20.0,0.0
80,15.000000000000007,55.00000000000001,40.0
109,15.000000000000007,55.00000000000001,40.0
130,15.0,95.0,80.0
145,15.0,35.0,20.0
395,15.0,45.0,30.0
406,15.0,35.0,20.0
562,15.0,95.0,80.0
775,15.0,75.0,60.0
779,15.0,75.0,60.0
788,15.0,95.0,80.0
19,10.0,100.0,90.0
71,10.0,100.0,90.0
74,10.0,20.0,10.0
96,10.0,90.0,80.0
126,10.0,10.0,0.0
170,10.0,100.0,90.0
260,10.0,10.0,0.0
294,10.0,20.0,10.0
295,10.0,10.0,0.0
307,10.0,10.0,0.0
412,10.0,100.0,90.0
419,10.0,90.0,80.0
445,10.0,10.0,0.0
556,10.0,50.0,40.0
558,10.0,100.0,90.0
560,10.0,10.0,0.0
573,10.0,40.0,30.0
598,10.0,90.0,80.0
620,10.0,10.0,0.0
629,10.0,100.0,90.0
741,10.0,50.0,40.0
752,10.0,20.0,10.0
793,10.0,20.0,10.0
794,10.0,10.0,0.0
807,10.0,80.0,70.0
20,5.0,5.0,0.0
64,5.0,25.0,20.0
69,5.0,35.0,30.0
160,5.0,5.0,0.0
162,5.0,95.0,90.0
226,5.0,5.0,0.0
246,5.0,25.0,20.0
270,5.0,45.0,40.0
300,5.0,5.0,0.0
391,5.0,5.0,0.0
472,5.0,25.0,20.0
594,5.0,5.0,0.0
619,5.0,5.0,0.0
733,5.0,5.0,0.0
746,5.0,85.0,80.0
748,5.0,5.0,0.0
753,5.0,95.0,90.0
767,5.0,85.0,80.0
803,5.0,25.0,20.0
2,0.0,100.0,100.0
3,0.0,100.0,100.0
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,100.0,100.0
8,0.0,100.0,100.0
9,0.0,0.0,0.0
11,0.0,0.0,0.0
14,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,100.0,100.0
18,0.0,0.0,0.0
56,0.0,0.0,0.0
58,0.0,100.0,100.0
59,0.0,0.0,0.0
62,0.0,100.0,100.0
63,0.0,0.0,0.0
66,0.0,100.0,100.0
67,0.0,0.0,0.0
70,0.0,0.0,0.0
75,0.0,100.0,100.0
77,0.0,100.0,100.0
82,0.0,100.0,100.0
83,0.0,0.0,0.0
85,0.0,100.0,100.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,100.0,100.0
89,0.0,100.0,100.0
90,0.0,100.0,100.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,90.0,90.0
94,0.0,100.0,100.0
95,0.0,100.0,100.0
98,0.0,0.0,0.0
100,0.0,0.0,0.0
104,0.0,30.0,30.0
105,0.0,100.0,100.0
