task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
165,90.0,90.0,0.0
162,65.0,95.0,30.0
278,65.0,65.0,0.0
746,65.0,85.0,20.0
460,60.0,100.0,40.0
786,60.0,100.0,40.0
737,50.0,100.0,50.0
573,40.0,40.0,0.0
744,40.0,100.0,60.0
750,40.0,50.0,10.0
130,35.0,95.0,60.0
297,35.0,45.0,10.0
791,35.0,95.0,60.0
249,30.0,70.0,40.0
409,30.0,60.0,30.0
471,30.0,50.0,20.0
569,30.0,40.0,10.0
741,30.0,50.0,20.0
68,25.000000000000007,55.00000000000001,30.0
612,25.000000000000007,55.00000000000001,30.0
61,25.0,25.0,0.0
69,25.0,35.0,10.0
395,25.0,45.0,20.0
607,25.0,95.0,70.0
788,25.0,95.0,70.0
74,20.0,20.0,0.0
102,20.0,100.0,80.0
104,20.0,30.0,10.0
170,20.0,100.0,80.0
251,20.0,40.0,20.0
419,20.0,90.0,70.0
452,20.0,20.0,0.0
743,20.0,20.0,0.0
752,20.0,20.0,0.0
773,20.0,100.0,80.0
801,20.0,80.0,60.0
103,15.0,15.0,0.0
406,15.0,35.0,20.0
614,15.0,45.0,30.0
767,15.0,85.0,70.0
780,15.0,85.0,70.0
3,10.0,100.0,90.0
19,10.0,100.0,90.0
71,10.0,100.0,90.0
126,10.0,10.0,0.0
129,10.0,10.0,0.0
141,10.0,10.0,0.0
228,10.0,10.0,0.0
238,10.0,90.0,80.0
260,10.0,10.0,0.0
283,10.0,50.0,40.0
294,10.0,20.0,10.0
295,10.0,10.0,0.0
307,10.0,10.0,0.0
422,10.0,100.0,90.0
426,10.0,100.0,90.0
445,10.0,10.0,0.0
465,10.0,100.0,90.0
559,10.0,40.0,30.0
560,10.0,10.0,0.0
602,10.0,100.0,90.0
724,10.0,50.0,40.0
757,10.0,100.0,90.0
760,10.0,10.0,0.0
787,10.0,20.0,10.0
806,10.0,90.0,80.0
809,10.0,10.0,0.0
109,5.000000000000007,55.00000000000001,50.0
20,5.0,5.0,0.0
111,5.0,85.0,80.0
145,5.0,35.0,30.0
226,5.0,5.0,0.0
232,5.0,85.0,80.0
270,5.0,45.0,40.0
300,5.0,5.0,0.0
391,5.0,5.0,0.0
428,5.0,95.0,90.0
577,5.0,25.0,20.0
583,5.0,25.0,20.0
585,5.0,45.0,40.0
610,5.0,25.0,20.0
627,5.0,95.0,90.0
632,5.0,35.0,30.0
638,5.0,95.0,90.0
748,5.0,5.0,0.0
803,5.0,25.0,20.0
2,0.0,100.0,100.0
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,100.0,100.0
8,0.0,100.0,100.0
9,0.0,0.0,0.0
11,0.0,0.0,0.0
14,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,100.0,100.0
18,0.0,0.0,0.0
56,0.0,0.0,0.0
58,0.0,100.0,100.0
59,0.0,0.0,0.0
62,0.0,100.0,100.0
66,0.0,100.0,100.0
67,0.0,0.0,0.0
70,0.0,0.0,0.0
72,0.0,10.0,10.0
75,0.0,100.0,100.0
77,0.0,100.0,100.0
82,0.0,100.0,100.0
83,0.0,0.0,0.0
84,0.0,100.0,100.0
85,0.0,100.0,100.0
86,0.0,0.0,0.0
88,0.0,100.0,100.0
89,0.0,100.0,100.0
90,0.0,100.0,100.0
91,0.0,0.0,0.0
94,0.0,100.0,100.0
95,0.0,100.0,100.0
98,0.0,0.0,0.0
100,0.0,0.0,0.0
105,0.0,100.0,100.0
106,0.0,0.0,0.0
113,0.0,100.0,100.0
116,0.0,100.0,100.0
118,0.0,100.0,100.0
119,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
127,0.0,100.0,100.0
128,0.0,100.0,100.0
131,0.0,0.0,0.0
132,0.0,100.0,100.0
133,0.0,100.0,100.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,100.0,100.0
140,0.0,100.0,100.0
142,0.0,100.0,100.0
143,0.0,0.0,0.0
161,0.0,100.0,100.0
163,0.0,0.0,0.0
164,0.0,0.0,0.0
168,0.0,100.0,100.0
