task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
460,70.0,100.0,30.0
724,50.0,50.0,0.0
750,40.0,50.0,10.0
68,35.00000000000001,55.00000000000001,20.0
165,30.0,90.0,60.0
556,30.0,50.0,20.0
69,25.0,35.0,10.0
130,25.0,95.0,70.0
162,25.0,95.0,70.0
232,25.0,85.0,60.0
583,25.0,25.0,0.0
610,25.0,25.0,0.0
780,25.0,85.0,60.0
74,20.0,20.0,0.0
99,20.0,30.0,10.0
142,20.0,100.0,80.0
238,20.0,90.0,70.0
240,20.0,80.0,60.0
294,20.0,20.0,0.0
389,20.0,40.0,20.0
737,20.0,100.0,80.0
743,20.0,20.0,0.0
783,20.0,50.0,30.0
80,15.000000000000007,55.00000000000001,40.0
57,15.0,15.0,0.0
79,15.0,75.0,60.0
166,15.0,25.0,10.0
270,15.0,45.0,30.0
627,15.0,95.0,80.0
791,15.0,95.0,80.0
803,15.0,25.0,10.0
71,10.0,100.0,90.0
89,10.0,100.0,90.0
108,10.0,30.0,20.0
126,10.0,10.0,0.0
129,10.0,10.0,0.0
141,10.0,10.0,0.0
230,10.0,10.0,0.0
296,10.0,20.0,10.0
307,10.0,10.0,0.0
388,10.0,30.0,20.0
408,10.0,10.0,0.0
419,10.0,90.0,80.0
446,10.0,80.0,70.0
471,10.0,50.0,40.0
559,10.0,40.0,30.0
569,10.0,40.0,30.0
586,10.0,100.0,90.0
598,10.0,90.0,80.0
722,10.0,80.0,70.0
725,10.0,100.0,90.0
741,10.0,50.0,40.0
752,10.0,20.0,10.0
764,10.0,50.0,40.0
766,10.0,100.0,90.0
786,10.0,100.0,90.0
787,10.0,20.0,10.0
793,10.0,20.0,10.0
794,10.0,10.0,0.0
801,10.0,80.0,70.0
806,10.0,90.0,80.0
109,5.000000000000007,55.00000000000001,50.0
397,5.000000000000007,55.00000000000001,50.0
593,5.000000000000007,55.00000000000001,50.0
65,5.0,95.0,90.0
97,5.0,75.0,70.0
103,5.0,15.0,10.0
111,5.0,85.0,80.0
160,5.0,5.0,0.0
223,5.0,5.0,0.0
226,5.0,5.0,0.0
246,5.0,25.0,20.0
299,5.0,45.0,40.0
300,5.0,5.0,0.0
391,5.0,5.0,0.0
562,5.0,95.0,90.0
577,5.0,25.0,20.0
594,5.0,5.0,0.0
611,5.0,95.0,90.0
619,5.0,5.0,0.0
632,5.0,35.0,30.0
638,5.0,95.0,90.0
746,5.0,85.0,80.0
748,5.0,5.0,0.0
771,5.0,95.0,90.0
775,5.0,75.0,70.0
2,0.0,100.0,100.0
3,0.0,100.0,100.0
4,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,100.0,100.0
8,0.0,100.0,100.0
11,0.0,0.0,0.0
12,0.0,60.0,60.0
14,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,100.0,100.0
18,0.0,0.0,0.0
19,0.0,100.0,100.0
56,0.0,0.0,0.0
58,0.0,100.0,100.0
59,0.0,0.0,0.0
62,0.0,100.0,100.0
63,0.0,0.0,0.0
66,0.0,100.0,100.0
67,0.0,0.0,0.0
70,0.0,0.0,0.0
75,0.0,100.0,100.0
77,0.0,100.0,100.0
82,0.0,100.0,100.0
83,0.0,0.0,0.0
84,0.0,100.0,100.0
85,0.0,100.0,100.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,100.0,100.0
