task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
68,proactive,1,0.2,0.78,1.0,0.2
68,proactive_original,1,0.4,0.98,1.0,0.4
69,proactive,1,0.0,0.0,0.0,0.0
69,proactive_original,1,0.2,0.78,1.0,0.2
84,proactive,1,0.0,0.0,0.0,0.0
84,proactive_original,1,0.5,1.0,1.0,0.5
238,proactive,1,0.8,1.0,1.0,0.8
238,proactive_original,1,1.0,1.0,1.0,1.0
283,proactive,1,0.0,0.0,0.0,0.0
283,proactive_original,1,0.8,1.0,1.0,0.8
406,proactive,1,0.9,1.0,1.0,0.9
406,proactive_original,1,0.6,1.0,1.0,0.6
453,proactive,1,0.4,0.98,1.0,0.4
453,proactive_original,1,0.3,0.92,1.0,0.3
457,proactive,1,0.7,1.0,1.0,0.7
457,proactive_original,1,0.9,1.0,1.0,0.9
471,proactive,1,0.8,1.0,1.0,0.8
471,proactive_original,1,0.8,1.0,1.0,0.8
555,proactive,1,0.0,0.0,0.0,0.0
555,proactive_original,1,0.5,1.0,1.0,0.5
593,proactive,1,0.5,1.0,1.0,0.5
593,proactive_original,1,0.4,0.98,1.0,0.4
737,proactive,1,0.9,1.0,1.0,0.9
737,proactive_original,1,0.8,1.0,1.0,0.8
741,proactive,1,0.4,0.98,1.0,0.4
741,proactive_original,1,0.7,1.0,1.0,0.7
746,proactive,1,0.5,1.0,1.0,0.5
746,proactive_original,1,0.4,0.98,1.0,0.4
783,proactive,1,0.5,1.0,1.0,0.5
783,proactive_original,1,0.3,0.92,1.0,0.3
