task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
97,proactive,1,0.7,1.0,1.0,0.7
97,proactive_original,1,0.8,1.0,1.0,0.8
162,proactive,1,0.7,1.0,1.0,0.7
162,proactive_original,1,1.0,1.0,1.0,1.0
278,proactive,1,0.0,0.0,0.0,0.0
278,proactive_original,1,0.2,0.78,1.0,0.2
460,proactive,1,0.8,1.0,1.0,0.8
460,proactive_original,1,1.0,1.0,1.0,1.0
724,proactive,1,0.4,0.98,1.0,0.4
724,proactive_original,1,0.4,0.98,1.0,0.4
737,proactive,1,0.5,1.0,1.0,0.5
737,proactive_original,1,0.8,1.0,1.0,0.8
746,proactive,1,0.6,1.0,1.0,0.6
746,proactive_original,1,0.7,1.0,1.0,0.7
783,proactive,1,0.4,0.98,1.0,0.4
783,proactive_original,1,0.7,1.0,1.0,0.7
791,proactive,1,0.9,1.0,1.0,0.9
791,proactive_original,1,0.9,1.0,1.0,0.9
