task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
99,proactive,1,0.5,1.0,1.0,0.5
99,proactive_original,1,0.5,1.0,1.0,0.5
104,proactive,1,0.1,0.5,1.0,0.1
104,proactive_original,1,0.0,0.0,0.0,0.0
165,proactive,1,0.7,1.0,1.0,0.7
165,proactive_original,1,1.0,1.0,1.0,1.0
278,proactive,1,0.0,0.0,0.0,0.0
278,proactive_original,1,0.2,0.78,1.0,0.2
283,proactive,1,0.5,1.0,1.0,0.5
283,proactive_original,1,0.6,1.0,1.0,0.6
446,proactive,1,1.0,1.0,1.0,1.0
446,proactive_original,1,0.9,1.0,1.0,0.9
567,proactive,1,0.7,1.0,1.0,0.7
567,proactive_original,1,1.0,1.0,1.0,1.0
573,proactive,1,0.6,1.0,1.0,0.6
573,proactive_original,1,1.0,1.0,1.0,1.0
593,proactive,1,0.2,0.78,1.0,0.2
593,proactive_original,1,0.4,0.98,1.0,0.4
598,proactive,1,0.6,1.0,1.0,0.6
598,proactive_original,1,0.8,1.0,1.0,0.8
764,proactive,1,0.1,0.5,1.0,0.1
764,proactive_original,1,0.6,1.0,1.0,0.6
783,proactive,1,1.0,1.0,1.0,1.0
783,proactive_original,1,0.8,1.0,1.0,0.8
