task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,proactive,1,0.3,0.92,1.0,0.3
69,proactive_original,1,0.0,0.0,0.0,0.0
79,proactive,1,1.0,1.0,1.0,1.0
79,proactive_original,1,1.0,1.0,1.0,1.0
97,proactive,1,0.4,0.98,1.0,0.4
97,proactive_original,1,0.9,1.0,1.0,0.9
108,proactive,1,0.4,0.98,1.0,0.4
108,proactive_original,1,0.2,0.78,1.0,0.2
130,proactive,1,0.5,1.0,1.0,0.5
130,proactive_original,1,1.0,1.0,1.0,1.0
249,proactive,1,0.7,1.0,1.0,0.7
249,proactive_original,1,0.9,1.0,1.0,0.9
278,proactive,1,0.6,1.0,1.0,0.6
278,proactive_original,1,0.3,0.92,1.0,0.3
455,proactive,1,0.5,1.0,1.0,0.5
455,proactive_original,1,0.8,1.0,1.0,0.8
464,proactive,1,1.0,1.0,1.0,1.0
464,proactive_original,1,1.0,1.0,1.0,1.0
471,proactive,1,0.5,1.0,1.0,0.5
471,proactive_original,1,1.0,1.0,1.0,1.0
556,proactive,1,1.0,1.0,1.0,1.0
556,proactive_original,1,0.9,1.0,1.0,0.9
558,proactive,1,0.9,1.0,1.0,0.9
558,proactive_original,1,0.9,1.0,1.0,0.9
569,proactive,1,0.0,0.0,0.0,0.0
569,proactive_original,1,0.6,1.0,1.0,0.6
573,proactive,1,0.6,1.0,1.0,0.6
573,proactive_original,1,1.0,1.0,1.0,1.0
593,proactive,1,0.2,0.78,1.0,0.2
593,proactive_original,1,0.6,1.0,1.0,0.6
614,proactive,1,0.1,0.5,1.0,0.1
614,proactive_original,1,0.4,0.98,1.0,0.4
638,proactive,1,0.5,1.0,1.0,0.5
638,proactive_original,1,0.8,1.0,1.0,0.8
750,proactive,1,0.0,0.0,0.0,0.0
750,proactive_original,1,0.5,1.0,1.0,0.5
786,proactive,1,0.3,0.92,1.0,0.3
786,proactive_original,1,0.7,1.0,1.0,0.7
801,proactive,1,0.5,1.0,1.0,0.5
801,proactive_original,1,0.8,1.0,1.0,0.8
