task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
97,proactive,2,0.45,0.5,0.5,0.45
97,proactive_original,2,0.45,0.5,0.5,0.45
130,proactive,2,0.5,0.5,0.5,0.5
130,proactive_original,2,0.5,0.5,0.5,0.5
406,proactive,2,0.35,0.5,0.5,0.35
406,proactive_original,2,0.45,0.5,0.5,0.45
559,proactive,2,0.2,0.49,0.5,0.2
559,proactive_original,2,0.2,0.49,0.5,0.2
593,proactive,2,0.3,0.5,0.5,0.3
593,proactive_original,2,0.3,0.5,0.5,0.3
598,proactive,2,0.45,0.5,0.5,0.45
598,proactive_original,2,0.4,0.5,0.5,0.4
