task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,proactive,1,0.0,0.0,0.0,0.0
69,proactive_original,1,0.2,0.78,1.0,0.2
102,proactive,1,0.8,1.0,1.0,0.8
102,proactive_original,1,0.8,1.0,1.0,0.8
111,proactive,1,0.5,1.0,1.0,0.5
111,proactive_original,1,0.5,1.0,1.0,0.5
162,proactive,1,0.6,1.0,1.0,0.6
162,proactive_original,1,0.7,1.0,1.0,0.7
165,proactive,1,0.8,1.0,1.0,0.8
165,proactive_original,1,0.9,1.0,1.0,0.9
249,proactive,1,0.7,1.0,1.0,0.7
249,proactive_original,1,0.9,1.0,1.0,0.9
446,proactive,1,1.0,1.0,1.0,1.0
446,proactive_original,1,0.8,1.0,1.0,0.8
573,proactive,1,0.8,1.0,1.0,0.8
573,proactive_original,1,0.9,1.0,1.0,0.9
593,proactive,1,0.3,0.92,1.0,0.3
593,proactive_original,1,0.5,1.0,1.0,0.5
737,proactive,1,0.8,1.0,1.0,0.8
737,proactive_original,1,1.0,1.0,1.0,1.0
767,proactive,1,0.9,1.0,1.0,0.9
767,proactive_original,1,1.0,1.0,1.0,1.0
777,proactive,1,0.9,1.0,1.0,0.9
777,proactive_original,1,0.4,0.98,1.0,0.4
783,proactive,1,0.7,1.0,1.0,0.7
783,proactive_original,1,0.6,1.0,1.0,0.6
