task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
69,proactive,1,0.1,0.5,1.0,0.1
69,proactive_original,1,0.1,0.5,1.0,0.1
130,proactive,1,0.4,0.98,1.0,0.4
130,proactive_original,1,1.0,1.0,1.0,1.0
270,proactive,1,0.0,0.0,0.0,0.0
270,proactive_original,1,0.5,1.0,1.0,0.5
396,proactive,1,0.3,0.92,1.0,0.3
396,proactive_original,1,0.8,1.0,1.0,0.8
397,proactive,1,0.6,1.0,1.0,0.6
397,proactive_original,1,0.3,0.92,1.0,0.3
412,proactive,1,1.0,1.0,1.0,1.0
412,proactive_original,1,1.0,1.0,1.0,1.0
428,proactive,1,0.9,1.0,1.0,0.9
428,proactive_original,1,1.0,1.0,1.0,1.0
453,proactive,1,0.0,0.0,0.0,0.0
453,proactive_original,1,0.4,0.98,1.0,0.4
559,proactive,1,0.3,0.92,1.0,0.3
559,proactive_original,1,0.4,0.98,1.0,0.4
724,proactive,1,0.6,1.0,1.0,0.6
724,proactive_original,1,0.6,1.0,1.0,0.6
746,proactive,1,0.4,0.98,1.0,0.4
746,proactive_original,1,0.3,0.92,1.0,0.3
780,proactive,1,0.2,0.78,1.0,0.2
780,proactive_original,1,0.3,0.92,1.0,0.3
783,proactive,1,0.5,1.0,1.0,0.5
783,proactive_original,1,0.7,1.0,1.0,0.7
