task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
130,proactive,1,0.9,1.0,1.0,0.9
130,proactive_original,1,1.0,1.0,1.0,1.0
162,proactive,1,0.1,0.5,1.0,0.1
162,proactive_original,1,0.7,1.0,1.0,0.7
165,proactive,1,0.0,0.0,0.0,0.0
165,proactive_original,1,0.9,1.0,1.0,0.9
249,proactive,1,0.6,1.0,1.0,0.6
249,proactive_original,1,0.8,1.0,1.0,0.8
278,proactive,1,0.0,0.0,0.0,0.0
278,proactive_original,1,0.2,0.78,1.0,0.2
297,proactive,1,0.9,1.0,1.0,0.9
297,proactive_original,1,0.7,1.0,1.0,0.7
409,proactive,1,0.7,1.0,1.0,0.7
409,proactive_original,1,0.8,1.0,1.0,0.8
460,proactive,1,0.3,0.92,1.0,0.3
460,proactive_original,1,1.0,1.0,1.0,1.0
471,proactive,1,0.6,1.0,1.0,0.6
471,proactive_original,1,0.9,1.0,1.0,0.9
569,proactive,1,0.0,0.0,0.0,0.0
569,proactive_original,1,0.3,0.92,1.0,0.3
573,proactive,1,0.4,0.98,1.0,0.4
573,proactive_original,1,0.9,1.0,1.0,0.9
737,proactive,1,0.4,0.98,1.0,0.4
737,proactive_original,1,1.0,1.0,1.0,1.0
741,proactive,1,0.7,1.0,1.0,0.7
741,proactive_original,1,0.6,1.0,1.0,0.6
744,proactive,1,0.8,1.0,1.0,0.8
744,proactive_original,1,1.0,1.0,1.0,1.0
746,proactive,1,0.5,1.0,1.0,0.5
746,proactive_original,1,0.2,0.78,1.0,0.2
750,proactive,1,0.1,0.5,1.0,0.1
750,proactive_original,1,0.2,0.78,1.0,0.2
786,proactive,1,0.5,1.0,1.0,0.5
786,proactive_original,1,0.6,1.0,1.0,0.6
791,proactive,1,0.6,1.0,1.0,0.6
791,proactive_original,1,1.0,1.0,1.0,1.0
