task_id,condition,n_samples,avg_pass@1,avg_pass@5,avg_pass@10,avg_pass_ratio
84,proactive,1,0.0,0.0,0.0,0.0
84,proactive_original,1,0.7,1.0,1.0,0.7
278,proactive,1,0.1,0.5,1.0,0.1
278,proactive_original,1,0.3,0.92,1.0,0.3
406,proactive,1,0.3,0.92,1.0,0.3
406,proactive_original,1,0.9,1.0,1.0,0.9
412,proactive,1,0.9,1.0,1.0,0.9
412,proactive_original,1,1.0,1.0,1.0,1.0
424,proactive,1,0.8,1.0,1.0,0.8
424,proactive_original,1,0.7,1.0,1.0,0.7
439,proactive,1,0.9,1.0,1.0,0.9
439,proactive_original,1,1.0,1.0,1.0,1.0
460,proactive,1,0.8,1.0,1.0,0.8
460,proactive_original,1,1.0,1.0,1.0,1.0
598,proactive,1,0.6,1.0,1.0,0.6
598,proactive_original,1,0.8,1.0,1.0,0.8
722,proactive,1,0.8,1.0,1.0,0.8
722,proactive_original,1,0.6,1.0,1.0,0.6
741,proactive,1,0.4,0.98,1.0,0.4
741,proactive_original,1,0.3,0.92,1.0,0.3
750,proactive,1,0.2,0.78,1.0,0.2
750,proactive_original,1,0.4,0.98,1.0,0.4
786,proactive,1,0.6,1.0,1.0,0.6
786,proactive_original,1,0.6,1.0,1.0,0.6
801,proactive,1,0.5,1.0,1.0,0.5
801,proactive_original,1,0.6,1.0,1.0,0.6
