task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
62,edit,62,0.80,1.00,1.00,0.80
102,edit,62,0.90,1.00,1.00,0.90
165,edit,62,0.50,1.00,1.00,0.50
420,edit,62,0.70,1.00,1.00,0.70
457,edit,62,0.80,1.00,1.00,0.80
562,edit,62,1.00,1.00,1.00,1.00
607,edit,62,0.50,1.00,1.00,0.50
742,edit,62,0.70,1.00,1.00,0.70
783,edit,62,0.10,0.50,1.00,0.10
102,edit,102,0.60,1.00,1.00,0.60
62,edit,102,0.40,0.98,1.00,0.40
165,edit,102,0.40,0.98,1.00,0.40
420,edit,102,0.40,0.98,1.00,0.40
457,edit,102,0.80,1.00,1.00,0.80
562,edit,102,0.90,1.00,1.00,0.90
607,edit,102,0.60,1.00,1.00,0.60
742,edit,102,0.80,1.00,1.00,0.80
783,edit,102,0.10,0.50,1.00,0.10
165,edit,165,0.40,0.98,1.00,0.40
62,edit,165,0.70,1.00,1.00,0.70
102,edit,165,0.80,1.00,1.00,0.80
420,edit,165,0.50,1.00,1.00,0.50
457,edit,165,0.80,1.00,1.00,0.80
562,edit,165,0.70,1.00,1.00,0.70
607,edit,165,0.40,0.98,1.00,0.40
742,edit,165,0.80,1.00,1.00,0.80
783,edit,165,0.20,0.78,1.00,0.20
420,edit,420,0.60,1.00,1.00,0.60
62,edit,420,0.50,1.00,1.00,0.50
102,edit,420,0.70,1.00,1.00,0.70
165,edit,420,0.40,0.98,1.00,0.40
457,edit,420,0.90,1.00,1.00,0.90
562,edit,420,0.90,1.00,1.00,0.90
607,edit,420,0.60,1.00,1.00,0.60
742,edit,420,0.70,1.00,1.00,0.70
783,edit,420,0.40,0.98,1.00,0.40
457,edit,457,0.90,1.00,1.00,0.90
62,edit,457,0.80,1.00,1.00,0.80
102,edit,457,0.70,1.00,1.00,0.70
165,edit,457,0.10,0.50,1.00,0.10
420,edit,457,0.50,1.00,1.00,0.50
562,edit,457,1.00,1.00,1.00,1.00
607,edit,457,0.50,1.00,1.00,0.50
742,edit,457,0.50,1.00,1.00,0.50
783,edit,457,0.30,0.92,1.00,0.30
562,edit,562,0.90,1.00,1.00,0.90
62,edit,562,0.50,1.00,1.00,0.50
102,edit,562,0.90,1.00,1.00,0.90
165,edit,562,0.30,0.92,1.00,0.30
420,edit,562,0.30,0.92,1.00,0.30
457,edit,562,0.90,1.00,1.00,0.90
607,edit,562,0.30,0.92,1.00,0.30
742,edit,562,0.80,1.00,1.00,0.80
783,edit,562,0.10,0.50,1.00,0.10
607,edit,607,0.60,1.00,1.00,0.60
62,edit,607,0.50,1.00,1.00,0.50
102,edit,607,0.80,1.00,1.00,0.80
165,edit,607,0.30,0.92,1.00,0.30
420,edit,607,0.50,1.00,1.00,0.50
457,edit,607,0.60,1.00,1.00,0.60
562,edit,607,0.70,1.00,1.00,0.70
742,edit,607,0.80,1.00,1.00,0.80
783,edit,607,0.20,0.78,1.00,0.20
742,edit,742,0.60,1.00,1.00,0.60
62,edit,742,0.50,1.00,1.00,0.50
102,edit,742,0.80,1.00,1.00,0.80
165,edit,742,0.30,0.92,1.00,0.30
420,edit,742,0.60,1.00,1.00,0.60
457,edit,742,1.00,1.00,1.00,1.00
562,edit,742,0.90,1.00,1.00,0.90
607,edit,742,0.70,1.00,1.00,0.70
783,edit,742,0.20,0.78,1.00,0.20
783,edit,783,0.30,0.92,1.00,0.30
62,edit,783,0.60,1.00,1.00,0.60
102,edit,783,0.70,1.00,1.00,0.70
165,edit,783,0.10,0.50,1.00,0.10
420,edit,783,0.20,0.78,1.00,0.20
457,edit,783,0.90,1.00,1.00,0.90
562,edit,783,0.90,1.00,1.00,0.90
607,edit,783,0.40,0.98,1.00,0.40
742,edit,783,0.60,1.00,1.00,0.60
62,edit,62,0.80,1.00,1.00,0.80
102,edit,62,0.90,1.00,1.00,0.90
165,edit,62,0.50,1.00,1.00,0.50
420,edit,62,0.70,1.00,1.00,0.70
457,edit,62,0.80,1.00,1.00,0.80
562,edit,62,1.00,1.00,1.00,1.00
607,edit,62,0.50,1.00,1.00,0.50
742,edit,62,0.70,1.00,1.00,0.70
783,edit,62,0.10,0.50,1.00,0.10
102,edit,102,0.60,1.00,1.00,0.60
62,edit,102,0.40,0.98,1.00,0.40
165,edit,102,0.40,0.98,1.00,0.40
420,edit,102,0.40,0.98,1.00,0.40
457,edit,102,0.80,1.00,1.00,0.80
562,edit,102,0.90,1.00,1.00,0.90
607,edit,102,0.60,1.00,1.00,0.60
742,edit,102,0.80,1.00,1.00,0.80
783,edit,102,0.10,0.50,1.00,0.10
165,edit,165,0.40,0.98,1.00,0.40
62,edit,165,0.70,1.00,1.00,0.70
102,edit,165,0.80,1.00,1.00,0.80
420,edit,165,0.50,1.00,1.00,0.50
457,edit,165,0.80,1.00,1.00,0.80
562,edit,165,0.70,1.00,1.00,0.70
607,edit,165,0.40,0.98,1.00,0.40
742,edit,165,0.80,1.00,1.00,0.80
783,edit,165,0.20,0.78,1.00,0.20
420,edit,420,0.60,1.00,1.00,0.60
62,edit,420,0.50,1.00,1.00,0.50
102,edit,420,0.70,1.00,1.00,0.70
165,edit,420,0.40,0.98,1.00,0.40
457,edit,420,0.90,1.00,1.00,0.90
562,edit,420,0.90,1.00,1.00,0.90
607,edit,420,0.60,1.00,1.00,0.60
742,edit,420,0.70,1.00,1.00,0.70
783,edit,420,0.40,0.98,1.00,0.40
457,edit,457,0.90,1.00,1.00,0.90
62,edit,457,0.80,1.00,1.00,0.80
102,edit,457,0.70,1.00,1.00,0.70
165,edit,457,0.10,0.50,1.00,0.10
420,edit,457,0.50,1.00,1.00,0.50
562,edit,457,1.00,1.00,1.00,1.00
607,edit,457,0.50,1.00,1.00,0.50
742,edit,457,0.50,1.00,1.00,0.50
783,edit,457,0.30,0.92,1.00,0.30
562,edit,562,0.90,1.00,1.00,0.90
62,edit,562,0.50,1.00,1.00,0.50
102,edit,562,0.90,1.00,1.00,0.90
165,edit,562,0.30,0.92,1.00,0.30
420,edit,562,0.30,0.92,1.00,0.30
457,edit,562,0.90,1.00,1.00,0.90
607,edit,562,0.30,0.92,1.00,0.30
742,edit,562,0.80,1.00,1.00,0.80
