task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
62,edit,62,0.70,1.00,1.00,0.70
84,edit,62,0.00,0.00,0.00,0.00
89,edit,62,0.00,0.00,0.00,0.00
228,edit,62,0.20,0.78,1.00,0.20
453,edit,62,0.10,0.50,1.00,0.10
454,edit,62,0.80,1.00,1.00,0.80
556,edit,62,0.10,0.50,1.00,0.10
569,edit,62,0.40,0.98,1.00,0.40
756,edit,62,1.00,1.00,1.00,1.00
783,edit,62,0.50,1.00,1.00,0.50
84,edit,84,0.00,0.00,0.00,0.00
62,edit,84,0.70,1.00,1.00,0.70
89,edit,84,0.00,0.00,0.00,0.00
228,edit,84,0.40,0.98,1.00,0.40
453,edit,84,0.10,0.50,1.00,0.10
454,edit,84,1.00,1.00,1.00,1.00
556,edit,84,0.20,0.78,1.00,0.20
569,edit,84,0.30,0.92,1.00,0.30
756,edit,84,1.00,1.00,1.00,1.00
783,edit,84,0.30,0.92,1.00,0.30
89,edit,89,0.20,0.78,1.00,0.20
62,edit,89,0.30,0.92,1.00,0.30
84,edit,89,0.00,0.00,0.00,0.00
228,edit,89,0.70,1.00,1.00,0.70
453,edit,89,0.10,0.50,1.00,0.10
454,edit,89,1.00,1.00,1.00,1.00
556,edit,89,0.00,0.00,0.00,0.00
569,edit,89,0.20,0.78,1.00,0.20
756,edit,89,0.80,1.00,1.00,0.80
783,edit,89,0.10,0.50,1.00,0.10
228,edit,228,0.50,1.00,1.00,0.50
62,edit,228,0.40,0.98,1.00,0.40
84,edit,228,0.00,0.00,0.00,0.00
89,edit,228,0.20,0.78,1.00,0.20
453,edit,228,0.10,0.50,1.00,0.10
454,edit,228,0.80,1.00,1.00,0.80
556,edit,228,0.30,0.92,1.00,0.30
569,edit,228,0.20,0.78,1.00,0.20
756,edit,228,1.00,1.00,1.00,1.00
783,edit,228,0.10,0.50,1.00,0.10
453,edit,453,0.20,0.78,1.00,0.20
62,edit,453,0.60,1.00,1.00,0.60
84,edit,453,0.00,0.00,0.00,0.00
89,edit,453,0.00,0.00,0.00,0.00
228,edit,453,0.50,1.00,1.00,0.50
454,edit,453,1.00,1.00,1.00,1.00
556,edit,453,0.00,0.00,0.00,0.00
569,edit,453,0.40,0.98,1.00,0.40
756,edit,453,0.80,1.00,1.00,0.80
783,edit,453,0.60,1.00,1.00,0.60
454,edit,454,0.90,1.00,1.00,0.90
62,edit,454,0.40,0.98,1.00,0.40
84,edit,454,0.00,0.00,0.00,0.00
89,edit,454,0.10,0.50,1.00,0.10
228,edit,454,0.70,1.00,1.00,0.70
453,edit,454,0.00,0.00,0.00,0.00
556,edit,454,0.10,0.50,1.00,0.10
569,edit,454,0.30,0.92,1.00,0.30
756,edit,454,1.00,1.00,1.00,1.00
783,edit,454,0.40,0.98,1.00,0.40
556,edit,556,0.20,0.78,1.00,0.20
62,edit,556,0.50,1.00,1.00,0.50
84,edit,556,0.00,0.00,0.00,0.00
89,edit,556,0.10,0.50,1.00,0.10
228,edit,556,0.10,0.50,1.00,0.10
453,edit,556,0.00,0.00,0.00,0.00
454,edit,556,1.00,1.00,1.00,1.00
569,edit,556,0.60,1.00,1.00,0.60
756,edit,556,0.90,1.00,1.00,0.90
783,edit,556,0.50,1.00,1.00,0.50
569,edit,569,0.30,0.92,1.00,0.30
62,edit,569,0.80,1.00,1.00,0.80
84,edit,569,0.00,0.00,0.00,0.00
89,edit,569,0.40,0.98,1.00,0.40
228,edit,569,0.50,1.00,1.00,0.50
453,edit,569,0.10,0.50,1.00,0.10
454,edit,569,1.00,1.00,1.00,1.00
556,edit,569,0.50,1.00,1.00,0.50
756,edit,569,1.00,1.00,1.00,1.00
783,edit,569,0.10,0.50,1.00,0.10
756,edit,756,0.90,1.00,1.00,0.90
62,edit,756,0.40,0.98,1.00,0.40
84,edit,756,0.00,0.00,0.00,0.00
89,edit,756,0.40,0.98,1.00,0.40
228,edit,756,0.40,0.98,1.00,0.40
453,edit,756,0.00,0.00,0.00,0.00
454,edit,756,0.90,1.00,1.00,0.90
556,edit,756,0.20,0.78,1.00,0.20
569,edit,756,0.30,0.92,1.00,0.30
783,edit,756,0.20,0.78,1.00,0.20
783,edit,783,0.20,0.78,1.00,0.20
62,edit,783,0.60,1.00,1.00,0.60
84,edit,783,0.60,1.00,1.00,0.60
89,edit,783,0.00,0.00,0.00,0.00
228,edit,783,0.50,1.00,1.00,0.50
453,edit,783,0.80,1.00,1.00,0.80
454,edit,783,0.80,1.00,1.00,0.80
556,edit,783,0.10,0.50,1.00,0.10
569,edit,783,0.20,0.78,1.00,0.20
756,edit,783,0.80,1.00,1.00,0.80
