task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
62,edit,62,0.60,1.00,1.00,0.60
89,edit,62,0.20,0.78,1.00,0.20
106,edit,62,0.60,1.00,1.00,0.60
166,edit,62,0.30,0.92,1.00,0.30
167,edit,62,0.40,0.98,1.00,0.40
171,edit,62,1.00,1.00,1.00,1.00
265,edit,62,0.80,1.00,1.00,0.80
299,edit,62,0.80,1.00,1.00,0.80
301,edit,62,0.50,1.00,1.00,0.50
389,edit,62,0.60,1.00,1.00,0.60
454,edit,62,0.80,1.00,1.00,0.80
569,edit,62,0.10,0.50,1.00,0.10
610,edit,62,0.30,0.92,1.00,0.30
614,edit,62,0.90,1.00,1.00,0.90
643,edit,62,0.00,0.00,0.00,0.00
644,edit,62,0.10,0.50,1.00,0.10
89,edit,89,0.40,0.98,1.00,0.40
62,edit,89,0.60,1.00,1.00,0.60
106,edit,89,0.70,1.00,1.00,0.70
166,edit,89,0.00,0.00,0.00,0.00
167,edit,89,0.70,1.00,1.00,0.70
171,edit,89,0.80,1.00,1.00,0.80
265,edit,89,0.80,1.00,1.00,0.80
299,edit,89,0.70,1.00,1.00,0.70
301,edit,89,0.60,1.00,1.00,0.60
389,edit,89,0.60,1.00,1.00,0.60
454,edit,89,0.70,1.00,1.00,0.70
569,edit,89,0.20,0.78,1.00,0.20
610,edit,89,0.50,1.00,1.00,0.50
614,edit,89,1.00,1.00,1.00,1.00
643,edit,89,0.00,0.00,0.00,0.00
644,edit,89,0.20,0.78,1.00,0.20
106,edit,106,0.60,1.00,1.00,0.60
62,edit,106,0.70,1.00,1.00,0.70
89,edit,106,0.20,0.78,1.00,0.20
166,edit,106,0.10,0.50,1.00,0.10
167,edit,106,0.60,1.00,1.00,0.60
171,edit,106,0.70,1.00,1.00,0.70
265,edit,106,0.60,1.00,1.00,0.60
299,edit,106,0.80,1.00,1.00,0.80
301,edit,106,0.70,1.00,1.00,0.70
389,edit,106,0.60,1.00,1.00,0.60
454,edit,106,0.80,1.00,1.00,0.80
569,edit,106,0.10,0.50,1.00,0.10
610,edit,106,0.40,0.98,1.00,0.40
614,edit,106,1.00,1.00,1.00,1.00
643,edit,106,0.00,0.00,0.00,0.00
644,edit,106,0.60,1.00,1.00,0.60
166,edit,166,0.10,0.50,1.00,0.10
62,edit,166,0.50,1.00,1.00,0.50
89,edit,166,0.40,0.98,1.00,0.40
106,edit,166,0.60,1.00,1.00,0.60
167,edit,166,0.40,0.98,1.00,0.40
171,edit,166,0.70,1.00,1.00,0.70
265,edit,166,0.70,1.00,1.00,0.70
299,edit,166,0.50,1.00,1.00,0.50
301,edit,166,0.80,1.00,1.00,0.80
389,edit,166,0.30,0.92,1.00,0.30
454,edit,166,0.90,1.00,1.00,0.90
569,edit,166,0.10,0.50,1.00,0.10
610,edit,166,0.40,0.98,1.00,0.40
614,edit,166,0.90,1.00,1.00,0.90
643,edit,166,0.00,0.00,0.00,0.00
644,edit,166,0.40,0.98,1.00,0.40
167,edit,167,0.80,1.00,1.00,0.80
62,edit,167,0.60,1.00,1.00,0.60
89,edit,167,0.30,0.92,1.00,0.30
106,edit,167,0.60,1.00,1.00,0.60
166,edit,167,0.30,0.92,1.00,0.30
171,edit,167,0.80,1.00,1.00,0.80
265,edit,167,0.90,1.00,1.00,0.90
299,edit,167,0.80,1.00,1.00,0.80
301,edit,167,0.50,1.00,1.00,0.50
389,edit,167,0.40,0.98,1.00,0.40
