task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
145,edit,145,0.30,0.92,1.00,0.30
420,edit,145,0.20,0.78,1.00,0.20
440,edit,145,0.30,0.92,1.00,0.30
453,edit,145,0.00,0.00,0.00,0.00
569,edit,145,0.10,0.50,1.00,0.10
742,edit,145,0.70,1.00,1.00,0.70
420,edit,420,0.20,0.78,1.00,0.20
145,edit,420,0.60,1.00,1.00,0.60
440,edit,420,0.30,0.92,1.00,0.30
453,edit,420,0.00,0.00,0.00,0.00
569,edit,420,0.10,0.50,1.00,0.10
742,edit,420,0.40,0.98,1.00,0.40
440,edit,440,0.70,1.00,1.00,0.70
145,edit,440,0.00,0.00,0.00,0.00
420,edit,440,0.10,0.50,1.00,0.10
453,edit,440,0.20,0.78,1.00,0.20
569,edit,440,0.00,0.00,0.00,0.00
742,edit,440,0.80,1.00,1.00,0.80
453,edit,453,0.10,0.50,1.00,0.10
145,edit,453,0.30,0.92,1.00,0.30
420,edit,453,0.10,0.50,1.00,0.10
440,edit,453,0.30,0.92,1.00,0.30
569,edit,453,0.20,0.78,1.00,0.20
742,edit,453,0.50,1.00,1.00,0.50
569,edit,569,0.20,0.78,1.00,0.20
145,edit,569,0.10,0.50,1.00,0.10
420,edit,569,0.10,0.50,1.00,0.10
440,edit,569,0.60,1.00,1.00,0.60
453,edit,569,0.10,0.50,1.00,0.10
742,edit,569,0.50,1.00,1.00,0.50
742,edit,742,0.40,0.98,1.00,0.40
145,edit,742,0.20,0.78,1.00,0.20
420,edit,742,0.00,0.00,0.00,0.00
440,edit,742,0.30,0.92,1.00,0.30
453,edit,742,0.00,0.00,0.00,0.00
569,edit,742,0.10,0.50,1.00,0.10
