task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
62,edit,62,0.60,1.00,1.00,0.60
71,edit,62,0.20,0.78,1.00,0.20
89,edit,62,0.30,0.92,1.00,0.30
103,edit,62,0.90,1.00,1.00,0.90
167,edit,62,0.40,0.98,1.00,0.40
265,edit,62,0.50,1.00,1.00,0.50
391,edit,62,0.20,0.78,1.00,0.20
457,edit,62,0.70,1.00,1.00,0.70
562,edit,62,0.70,1.00,1.00,0.70
784,edit,62,0.70,1.00,1.00,0.70
71,edit,71,0.30,0.92,1.00,0.30
62,edit,71,0.70,1.00,1.00,0.70
89,edit,71,0.40,0.98,1.00,0.40
103,edit,71,0.70,1.00,1.00,0.70
167,edit,71,0.20,0.78,1.00,0.20
265,edit,71,0.40,0.98,1.00,0.40
391,edit,71,0.50,1.00,1.00,0.50
457,edit,71,0.10,0.50,1.00,0.10
562,edit,71,0.80,1.00,1.00,0.80
784,edit,71,0.90,1.00,1.00,0.90
89,edit,89,0.10,0.50,1.00,0.10
62,edit,89,0.20,0.78,1.00,0.20
71,edit,89,0.20,0.78,1.00,0.20
103,edit,89,0.60,1.00,1.00,0.60
167,edit,89,0.50,1.00,1.00,0.50
265,edit,89,0.30,0.92,1.00,0.30
391,edit,89,0.30,0.92,1.00,0.30
457,edit,89,0.30,0.92,1.00,0.30
562,edit,89,0.50,1.00,1.00,0.50
784,edit,89,0.80,1.00,1.00,0.80
103,edit,103,0.50,1.00,1.00,0.50
62,edit,103,0.30,0.92,1.00,0.30
71,edit,103,0.10,0.50,1.00,0.10
89,edit,103,0.40,0.98,1.00,0.40
167,edit,103,0.00,0.00,0.00,0.00
265,edit,103,0.40,0.98,1.00,0.40
391,edit,103,0.20,0.78,1.00,0.20
457,edit,103,0.50,1.00,1.00,0.50
562,edit,103,0.40,0.98,1.00,0.40
784,edit,103,0.60,1.00,1.00,0.60
167,edit,167,0.40,0.98,1.00,0.40
62,edit,167,0.40,0.98,1.00,0.40
71,edit,167,0.30,0.92,1.00,0.30
89,edit,167,0.10,0.50,1.00,0.10
103,edit,167,0.40,0.98,1.00,0.40
265,edit,167,0.30,0.92,1.00,0.30
391,edit,167,0.70,1.00,1.00,0.70
457,edit,167,0.20,0.78,1.00,0.20
562,edit,167,0.40,0.98,1.00,0.40
784,edit,167,0.90,1.00,1.00,0.90
265,edit,265,0.20,0.78,1.00,0.20
62,edit,265,0.30,0.92,1.00,0.30
71,edit,265,0.20,0.78,1.00,0.20
89,edit,265,0.30,0.92,1.00,0.30
103,edit,265,0.40,0.98,1.00,0.40
167,edit,265,0.10,0.50,1.00,0.10
391,edit,265,0.10,0.50,1.00,0.10
457,edit,265,0.00,0.00,0.00,0.00
562,edit,265,0.40,0.98,1.00,0.40
784,edit,265,0.60,1.00,1.00,0.60
391,edit,391,0.40,0.98,1.00,0.40
62,edit,391,0.20,0.78,1.00,0.20
71,edit,391,0.10,0.50,1.00,0.10
89,edit,391,0.40,0.98,1.00,0.40
103,edit,391,0.50,1.00,1.00,0.50
167,edit,391,0.40,0.98,1.00,0.40
265,edit,391,0.20,0.78,1.00,0.20
457,edit,391,0.60,1.00,1.00,0.60
