task_id,status,edit_task,pass@1,pass@5,pass@10,pass_ratio
62,edit,62,0.40,0.98,1.00,0.40
84,edit,62,0.00,0.00,0.00,0.00
89,edit,62,0.30,0.92,1.00,0.30
108,edit,62,0.70,1.00,1.00,0.70
290,edit,62,0.50,1.00,1.00,0.50
420,edit,62,0.10,0.50,1.00,0.10
432,edit,62,0.10,0.50,1.00,0.10
760,edit,62,0.40,0.98,1.00,0.40
771,edit,62,0.50,1.00,1.00,0.50
783,edit,62,0.20,0.78,1.00,0.20
801,edit,62,0.80,1.00,1.00,0.80
84,edit,84,0.40,0.98,1.00,0.40
62,edit,84,0.20,0.78,1.00,0.20
89,edit,84,0.10,0.50,1.00,0.10
108,edit,84,0.50,1.00,1.00,0.50
290,edit,84,0.70,1.00,1.00,0.70
420,edit,84,0.20,0.78,1.00,0.20
432,edit,84,0.00,0.00,0.00,0.00
760,edit,84,0.40,0.98,1.00,0.40
771,edit,84,0.50,1.00,1.00,0.50
783,edit,84,0.20,0.78,1.00,0.20
801,edit,84,1.00,1.00,1.00,1.00
89,edit,89,0.10,0.50,1.00,0.10
62,edit,89,0.60,1.00,1.00,0.60
84,edit,89,0.00,0.00,0.00,0.00
108,edit,89,0.60,1.00,1.00,0.60
290,edit,89,0.50,1.00,1.00,0.50
420,edit,89,0.40,0.98,1.00,0.40
432,edit,89,0.10,0.50,1.00,0.10
760,edit,89,0.50,1.00,1.00,0.50
771,edit,89,0.50,1.00,1.00,0.50
783,edit,89,0.10,0.50,1.00,0.10
801,edit,89,0.90,1.00,1.00,0.90
108,edit,108,0.50,1.00,1.00,0.50
62,edit,108,0.70,1.00,1.00,0.70
84,edit,108,0.00,0.00,0.00,0.00
89,edit,108,0.30,0.92,1.00,0.30
290,edit,108,0.70,1.00,1.00,0.70
420,edit,108,0.40,0.98,1.00,0.40
432,edit,108,0.20,0.78,1.00,0.20
760,edit,108,0.50,1.00,1.00,0.50
771,edit,108,0.70,1.00,1.00,0.70
783,edit,108,0.10,0.50,1.00,0.10
801,edit,108,1.00,1.00,1.00,1.00
290,edit,290,0.80,1.00,1.00,0.80
62,edit,290,0.80,1.00,1.00,0.80
84,edit,290,0.00,0.00,0.00,0.00
89,edit,290,0.30,0.92,1.00,0.30
108,edit,290,0.50,1.00,1.00,0.50
420,edit,290,0.20,0.78,1.00,0.20
432,edit,290,0.20,0.78,1.00,0.20
760,edit,290,0.80,1.00,1.00,0.80
771,edit,290,0.60,1.00,1.00,0.60
783,edit,290,0.30,0.92,1.00,0.30
801,edit,290,0.80,1.00,1.00,0.80
420,edit,420,0.00,0.00,0.00,0.00
62,edit,420,0.40,0.98,1.00,0.40
84,edit,420,0.00,0.00,0.00,0.00
89,edit,420,0.50,1.00,1.00,0.50
108,edit,420,0.50,1.00,1.00,0.50
290,edit,420,1.00,1.00,1.00,1.00
432,edit,420,0.00,0.00,0.00,0.00
760,edit,420,0.30,0.92,1.00,0.30
771,edit,420,0.30,0.92,1.00,0.30
783,edit,420,0.40,0.98,1.00,0.40
801,edit,420,1.00,1.00,1.00,1.00
432,edit,432,0.00,0.00,0.00,0.00
62,edit,432,0.80,1.00,1.00,0.80
84,edit,432,0.00,0.00,0.00,0.00
89,edit,432,0.40,0.98,1.00,0.40
108,edit,432,0.60,1.00,1.00,0.60
290,edit,432,0.70,1.00,1.00,0.70
420,edit,432,0.10,0.50,1.00,0.10
760,edit,432,0.30,0.92,1.00,0.30
771,edit,432,0.50,1.00,1.00,0.50
783,edit,432,0.20,0.78,1.00,0.20
801,edit,432,0.90,1.00,1.00,0.90
760,edit,760,1.00,1.00,1.00,1.00
62,edit,760,0.70,1.00,1.00,0.70
84,edit,760,0.00,0.00,0.00,0.00
89,edit,760,0.70,1.00,1.00,0.70
108,edit,760,0.50,1.00,1.00,0.50
