task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
145,55.0,65.0,10.0
558,55.0,85.0,30.0
71,50.0,70.0,20.0
279,45.0,65.0,20.0
569,45.0,45.0,0.0
89,40.0,80.0,40.0
405,40.0,100.0,60.0
453,40.0,50.0,10.0
756,40.0,100.0,60.0
638,35.0,95.0,60.0
749,35.0,35.0,0.0
101,30.0,100.0,70.0
167,30.0,80.0,50.0
273,30.0,100.0,70.0
397,30.0,90.0,60.0
454,30.0,100.0,70.0
783,30.0,50.0,20.0
806,30.0,60.0,30.0
471,25.000000000000007,55.00000000000001,30.0
265,25.0,85.0,60.0
573,25.0,95.0,70.0
610,25.0,75.0,50.0
632,25.0,35.0,10.0
641,25.0,65.0,40.0
166,20.0,40.0,20.0
295,20.0,70.0,50.0
301,20.0,80.0,60.0
395,20.0,30.0,10.0
780,20.0,100.0,80.0
294,15.000000000000007,55.00000000000001,40.0
598,15.000000000000007,55.00000000000001,40.0
115,15.0,85.0,70.0
228,15.0,65.0,50.0
280,15.0,85.0,70.0
287,15.0,25.0,10.0
299,15.0,75.0,60.0
450,15.0,15.0,0.0
639,15.0,75.0,60.0
753,15.0,95.0,80.0
755,15.0,25.0,10.0
758,15.0,45.0,30.0
779,15.0,35.0,20.0
804,15.0,15.0,0.0
14,10.0,10.0,0.0
120,10.0,20.0,10.0
131,10.0,50.0,40.0
163,10.0,20.0,10.0
247,10.0,20.0,10.0
400,10.0,10.0,0.0
440,10.0,40.0,30.0
445,10.0,10.0,0.0
566,10.0,100.0,90.0
579,10.0,40.0,30.0
595,10.0,90.0,80.0
607,10.0,60.0,50.0
614,10.0,100.0,90.0
620,10.0,10.0,0.0
726,10.0,90.0,80.0
737,10.0,100.0,90.0
742,10.0,90.0,80.0
757,10.0,60.0,50.0
772,10.0,30.0,20.0
799,10.0,100.0,90.0
19,5.0,95.0,90.0
61,5.0,95.0,90.0
69,5.0,95.0,90.0
77,5.0,85.0,80.0
104,5.0,5.0,0.0
117,5.0,15.0,10.0
124,5.0,5.0,0.0
133,5.0,95.0,90.0
170,5.0,75.0,70.0
230,5.0,95.0,90.0
259,5.0,15.0,10.0
270,5.0,95.0,90.0
396,5.0,35.0,30.0
407,5.0,35.0,30.0
410,5.0,5.0,0.0
415,5.0,5.0,0.0
594,5.0,45.0,40.0
754,5.0,5.0,0.0
787,5.0,45.0,40.0
2,0.0,100.0,100.0
3,0.0,100.0,100.0
4,0.0,100.0,100.0
6,0.0,0.0,0.0
7,0.0,100.0,100.0
8,0.0,100.0,100.0
9,0.0,0.0,0.0
17,0.0,100.0,100.0
18,0.0,0.0,0.0
56,0.0,0.0,0.0
58,0.0,100.0,100.0
59,0.0,100.0,100.0
62,0.0,90.0,90.0
64,0.0,100.0,100.0
66,0.0,100.0,100.0
67,0.0,0.0,0.0
68,0.0,100.0,100.0
70,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,100.0,100.0
79,0.0,100.0,100.0
82,0.0,100.0,100.0
83,0.0,0.0,0.0
84,0.0,100.0,100.0
85,0.0,100.0,100.0
86,0.0,100.0,100.0
88,0.0,100.0,100.0
91,0.0,100.0,100.0
93,0.0,100.0,100.0
94,0.0,100.0,100.0
96,0.0,100.0,100.0
97,0.0,100.0,100.0
103,0.0,100.0,100.0
105,0.0,100.0,100.0
106,0.0,100.0,100.0
111,0.0,60.0,60.0
113,0.0,100.0,100.0
118,0.0,100.0,100.0
119,0.0,0.0,0.0
123,0.0,10.0,10.0
125,0.0,0.0,0.0
126,0.0,100.0,100.0
127,0.0,100.0,100.0
128,0.0,100.0,100.0
132,0.0,100.0,100.0
135,0.0,100.0,100.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,100.0,100.0
140,0.0,50.0,50.0
142,0.0,100.0,100.0
143,0.0,0.0,0.0
160,0.0,0.0,0.0
161,0.0,70.0,70.0
162,0.0,90.0,90.0
164,0.0,0.0,0.0
168,0.0,100.0,100.0
172,0.0,100.0,100.0
223,0.0,0.0,0.0
224,0.0,100.0,100.0
226,0.0,100.0,100.0
227,0.0,100.0,100.0
229,0.0,0.0,0.0
232,0.0,100.0,100.0
233,0.0,100.0,100.0
234,0.0,100.0,100.0
