task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
101,100.0,100.0,0.0
89,80.0,80.0,0.0
86,50.0,100.0,50.0
783,50.0,50.0,0.0
115,45.0,85.0,40.0
228,45.0,65.0,20.0
758,45.0,45.0,0.0
84,40.0,100.0,60.0
749,35.0,35.0,0.0
753,35.0,95.0,60.0
62,30.0,90.0,60.0
92,30.0,60.0,30.0
264,30.0,60.0,30.0
607,30.0,60.0,30.0
396,25.0,35.0,10.0
559,25.0,35.0,10.0
610,25.0,75.0,50.0
755,25.0,25.0,0.0
805,25.0,25.0,0.0
11,20.0,50.0,30.0
71,20.0,70.0,50.0
120,20.0,20.0,0.0
167,20.0,80.0,60.0
395,20.0,30.0,10.0
440,20.0,40.0,20.0
576,20.0,30.0,10.0
595,20.0,90.0,70.0
725,20.0,100.0,80.0
801,20.0,100.0,80.0
806,20.0,60.0,40.0
20,15.0,25.0,10.0
77,15.0,85.0,70.0
95,15.0,85.0,70.0
222,15.0,95.0,80.0
251,15.0,85.0,70.0
259,15.0,15.0,0.0
280,15.0,85.0,70.0
633,15.0,15.0,0.0
639,15.0,75.0,60.0
779,15.0,35.0,20.0
803,15.0,75.0,60.0
14,10.0,10.0,0.0
123,10.0,10.0,0.0
140,10.0,50.0,40.0
163,10.0,20.0,10.0
301,10.0,80.0,70.0
388,10.0,40.0,30.0
392,10.0,10.0,0.0
400,10.0,10.0,0.0
562,10.0,100.0,90.0
584,10.0,90.0,80.0
604,10.0,70.0,60.0
777,10.0,10.0,0.0
799,10.0,100.0,90.0
439,5.000000000000007,55.00000000000001,50.0
19,5.0,95.0,90.0
69,5.0,95.0,90.0
104,5.0,5.0,0.0
124,5.0,5.0,0.0
230,5.0,95.0,90.0
279,5.0,65.0,60.0
287,5.0,25.0,20.0
297,5.0,75.0,70.0
299,5.0,75.0,70.0
422,5.0,25.0,20.0
476,5.0,95.0,90.0
638,5.0,95.0,90.0
731,5.0,95.0,90.0
773,5.0,95.0,90.0
798,5.0,75.0,70.0
804,5.0,15.0,10.0
2,0.0,100.0,100.0
3,0.0,100.0,100.0
4,0.0,100.0,100.0
6,0.0,0.0,0.0
7,0.0,100.0,100.0
8,0.0,100.0,100.0
9,0.0,0.0,0.0
12,0.0,70.0,70.0
17,0.0,100.0,100.0
18,0.0,0.0,0.0
56,0.0,0.0,0.0
58,0.0,100.0,100.0
59,0.0,100.0,100.0
63,0.0,0.0,0.0
64,0.0,100.0,100.0
66,0.0,100.0,100.0
67,0.0,0.0,0.0
68,0.0,100.0,100.0
70,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,100.0,100.0
79,0.0,100.0,100.0
