task_id,pass_rate_diff,file1_pass_rate,file2_pass_rate
62,70.0,90.0,20.0
457,70.0,90.0,20.0
265,65.0,85.0,20.0
71,60.0,70.0,10.0
89,60.0,80.0,20.0
103,60.0,100.0,40.0
167,60.0,80.0,20.0
391,60.0,70.0,10.0
562,60.0,100.0,40.0
784,50.0,100.0,50.0
471,45.00000000000001,55.00000000000001,10.0
77,45.0,85.0,40.0
109,45.0,75.0,30.0
222,45.0,95.0,50.0
299,45.0,75.0,30.0
798,45.0,75.0,30.0
84,40.0,100.0,60.0
140,40.0,50.0,10.0
393,40.0,70.0,30.0
440,40.0,40.0,0.0
453,40.0,50.0,10.0
454,40.0,100.0,60.0
583,40.0,90.0,50.0
294,35.00000000000001,55.00000000000001,20.0
69,35.0,95.0,60.0
95,35.0,85.0,50.0
246,35.0,35.0,0.0
639,35.0,75.0,40.0
116,30.0,70.0,40.0
162,30.0,90.0,60.0
238,30.0,100.0,70.0
283,30.0,70.0,40.0
296,30.0,100.0,70.0
388,30.0,40.0,10.0
593,30.0,80.0,50.0
607,30.0,60.0,30.0
644,30.0,40.0,10.0
439,25.000000000000007,55.00000000000001,30.0
170,25.0,75.0,50.0
270,25.0,95.0,70.0
308,25.0,25.0,0.0
407,25.0,35.0,10.0
558,25.0,85.0,60.0
559,25.0,35.0,10.0
628,25.0,95.0,70.0
749,25.0,35.0,10.0
755,25.0,25.0,0.0
758,25.0,45.0,20.0
4,20.0,100.0,80.0
97,20.0,100.0,80.0
102,20.0,70.0,50.0
111,20.0,60.0,40.0
126,20.0,100.0,80.0
130,20.0,20.0,0.0
163,20.0,20.0,0.0
166,20.0,40.0,20.0
247,20.0,20.0,0.0
264,20.0,60.0,40.0
394,20.0,100.0,80.0
395,20.0,30.0,10.0
406,20.0,100.0,80.0
568,20.0,100.0,80.0
611,20.0,100.0,80.0
614,20.0,100.0,80.0
637,20.0,100.0,80.0
724,20.0,100.0,80.0
725,20.0,100.0,80.0
743,20.0,100.0,80.0
766,20.0,100.0,80.0
767,20.0,100.0,80.0
806,20.0,60.0,40.0
20,15.0,25.0,10.0
61,15.0,95.0,80.0
108,15.0,75.0,60.0
133,15.0,95.0,80.0
228,15.0,65.0,50.0
259,15.0,15.0,0.0
287,15.0,25.0,10.0
557,15.0,95.0,80.0
569,15.0,45.0,30.0
610,15.0,75.0,60.0
632,15.0,35.0,20.0
753,15.0,95.0,80.0
779,15.0,35.0,20.0
804,15.0,15.0,0.0
805,15.0,25.0,10.0
14,10.0,10.0,0.0
75,10.0,100.0,90.0
86,10.0,100.0,90.0
87,10.0,40.0,30.0
88,10.0,100.0,90.0
90,10.0,90.0,80.0
123,10.0,10.0,0.0
132,10.0,100.0,90.0
141,10.0,10.0,0.0
172,10.0,100.0,90.0
224,10.0,100.0,90.0
240,10.0,100.0,90.0
256,10.0,40.0,30.0
262,10.0,100.0,90.0
273,10.0,100.0,90.0
277,10.0,100.0,90.0
400,10.0,10.0,0.0
412,10.0,100.0,90.0
426,10.0,100.0,90.0
436,10.0,100.0,90.0
456,10.0,100.0,90.0
465,10.0,80.0,70.0
567,10.0,100.0,90.0
576,10.0,30.0,20.0
579,10.0,40.0,30.0
581,10.0,10.0,0.0
602,10.0,90.0,80.0
618,10.0,100.0,90.0
620,10.0,10.0,0.0
625,10.0,100.0,90.0
740,10.0,90.0,80.0
742,10.0,90.0,80.0
756,10.0,100.0,90.0
777,10.0,10.0,0.0
780,10.0,100.0,90.0
783,10.0,50.0,40.0
791,10.0,100.0,90.0
799,10.0,100.0,90.0
598,5.000000000000007,55.00000000000001,50.0
80,5.0,15.0,10.0
98,5.0,5.0,0.0
124,5.0,5.0,0.0
165,5.0,35.0,30.0
271,5.0,85.0,80.0
280,5.0,85.0,80.0
290,5.0,75.0,70.0
410,5.0,5.0,0.0
415,5.0,5.0,0.0
419,5.0,15.0,10.0
437,5.0,15.0,10.0
450,5.0,15.0,10.0
476,5.0,95.0,90.0
615,5.0,5.0,0.0
633,5.0,15.0,10.0
731,5.0,95.0,90.0
773,5.0,95.0,90.0
2,0.0,100.0,100.0
3,0.0,100.0,100.0
6,0.0,0.0,0.0
7,0.0,100.0,100.0
8,0.0,100.0,100.0
9,0.0,0.0,0.0
17,0.0,100.0,100.0
18,0.0,0.0,0.0
56,0.0,0.0,0.0
58,0.0,100.0,100.0
59,0.0,100.0,100.0
63,0.0,0.0,0.0
64,0.0,100.0,100.0
66,0.0,100.0,100.0
67,0.0,0.0,0.0
68,0.0,100.0,100.0
70,0.0,0.0,0.0
79,0.0,100.0,100.0
82,0.0,100.0,100.0
83,0.0,0.0,0.0
85,0.0,100.0,100.0
91,0.0,100.0,100.0
93,0.0,100.0,100.0
94,0.0,100.0,100.0
96,0.0,100.0,100.0
100,0.0,10.0,10.0
101,0.0,100.0,100.0
105,0.0,100.0,100.0
106,0.0,100.0,100.0
113,0.0,100.0,100.0
118,0.0,100.0,100.0
119,0.0,0.0,0.0
125,0.0,0.0,0.0
127,0.0,100.0,100.0
128,0.0,100.0,100.0
129,0.0,0.0,0.0
131,0.0,50.0,50.0
135,0.0,100.0,100.0
137,0.0,0.0,0.0
138,0.0,0.0,0.0
139,0.0,100.0,100.0
142,0.0,100.0,100.0
143,0.0,0.0,0.0
160,0.0,0.0,0.0
164,0.0,0.0,0.0
168,0.0,100.0,100.0
171,0.0,80.0,80.0
223,0.0,0.0,0.0
226,0.0,100.0,100.0
227,0.0,100.0,100.0
229,0.0,0.0,0.0
232,0.0,100.0,100.0
233,0.0,100.0,100.0
234,0.0,100.0,100.0
235,0.0,0.0,0.0
237,0.0,0.0,0.0
239,0.0,0.0,0.0
242,0.0,100.0,100.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
248,0.0,100.0,100.0
249,0.0,0.0,0.0
250,0.0,100.0,100.0
252,0.0,100.0,100.0
253,0.0,100.0,100.0
255,0.0,100.0,100.0
257,0.0,100.0,100.0
260,0.0,0.0,0.0
261,0.0,100.0,100.0
266,0.0,100.0,100.0
267,0.0,100.0,100.0
269,0.0,100.0,100.0
272,0.0,100.0,100.0
274,0.0,100.0,100.0
276,0.0,100.0,100.0
281,0.0,100.0,100.0
282,0.0,100.0,100.0
284,0.0,100.0,100.0
285,0.0,100.0,100.0
286,0.0,0.0,0.0
291,0.0,30.0,30.0
292,0.0,100.0,100.0
293,0.0,100.0,100.0
300,0.0,0.0,0.0
301,0.0,80.0,80.0
304,0.0,0.0,0.0
305,0.0,0.0,0.0
306,0.0,0.0,0.0
307,0.0,0.0,0.0
309,0.0,100.0,100.0
310,0.0,0.0,0.0
311,0.0,0.0,0.0
312,0.0,100.0,100.0
389,0.0,60.0,60.0
390,0.0,100.0,100.0
392,0.0,10.0,10.0
398,0.0,0.0,0.0
399,0.0,100.0,100.0
401,0.0,100.0,100.0
404,0.0,100.0,100.0
405,0.0,100.0,100.0
409,0.0,0.0,0.0
411,0.0,100.0,100.0
413,0.0,100.0,100.0
414,0.0,100.0,100.0
417,0.0,0.0,0.0
418,0.0,100.0,100.0
420,0.0,50.0,50.0
421,0.0,100.0,100.0
424,0.0,100.0,100.0
425,0.0,100.0,100.0
427,0.0,100.0,100.0
428,0.0,0.0,0.0
429,0.0,80.0,80.0
430,0.0,0.0,0.0
431,0.0,100.0,100.0
432,0.0,100.0,100.0
435,0.0,100.0,100.0
438,0.0,0.0,0.0
441,0.0,100.0,100.0
442,0.0,0.0,0.0
443,0.0,0.0,0.0
446,0.0,100.0,100.0
447,0.0,100.0,100.0
448,0.0,0.0,0.0
451,0.0,100.0,100.0
452,0.0,0.0,0.0
455,0.0,100.0,100.0
458,0.0,100.0,100.0
459,0.0,100.0,100.0
460,0.0,100.0,100.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,0.0,0.0,0.0
464,0.0,100.0,100.0
468,0.0,0.0,0.0
470,0.0,100.0,100.0
472,0.0,100.0,100.0
473,0.0,0.0,0.0
474,0.0,100.0,100.0
475,0.0,100.0,100.0
477,0.0,100.0,100.0
478,0.0,100.0,100.0
479,0.0,100.0,100.0
554,0.0,100.0,100.0
556,0.0,100.0,100.0
560,0.0,90.0,90.0
563,0.0,100.0,100.0
564,0.0,100.0,100.0
565,0.0,100.0,100.0
566,0.0,100.0,100.0
572,0.0,0.0,0.0
574,0.0,0.0,0.0
577,0.0,100.0,100.0
580,0.0,0.0,0.0
582,0.0,100.0,100.0
584,0.0,90.0,90.0
586,0.0,100.0,100.0
587,0.0,100.0,100.0
588,0.0,100.0,100.0
590,0.0,0.0,0.0
591,0.0,100.0,100.0
592,0.0,0.0,0.0
596,0.0,100.0,100.0
597,0.0,0.0,0.0
599,0.0,100.0,100.0
600,0.0,100.0,100.0
603,0.0,0.0,0.0
605,0.0,100.0,100.0
606,0.0,100.0,100.0
608,0.0,100.0,100.0
612,0.0,0.0,0.0
616,0.0,100.0,100.0
617,0.0,0.0,0.0
619,0.0,0.0,0.0
622,0.0,0.0,0.0
623,0.0,100.0,100.0
624,0.0,100.0,100.0
626,0.0,100.0,100.0
627,0.0,100.0,100.0
629,0.0,100.0,100.0
630,0.0,0.0,0.0
631,0.0,0.0,0.0
635,0.0,100.0,100.0
640,0.0,0.0,0.0
643,0.0,100.0,100.0
720,0.0,100.0,100.0
721,0.0,0.0,0.0
728,0.0,100.0,100.0
730,0.0,100.0,100.0
732,0.0,100.0,100.0
734,0.0,0.0,0.0
735,0.0,0.0,0.0
736,0.0,100.0,100.0
737,0.0,100.0,100.0
738,0.0,100.0,100.0
741,0.0,100.0,100.0
744,0.0,100.0,100.0
746,0.0,100.0,100.0
748,0.0,100.0,100.0
750,0.0,100.0,100.0
751,0.0,0.0,0.0
752,0.0,100.0,100.0
757,0.0,60.0,60.0
760,0.0,100.0,100.0
762,0.0,100.0,100.0
763,0.0,0.0,0.0
764,0.0,100.0,100.0
765,0.0,0.0,0.0
770,0.0,100.0,100.0
