pert_type,codellama_proactive_lora_top2_mean,codellama_proactive_lora_top2_n_tasks,mbpp_codellama_non-lora-top-2_mean,mbpp_codellama_non-lora-top-2_n_tasks
A1,0.5490909090909091,11,0.6818181818181818,11
A2,1.0,6,0.49833333333333335,6
A3,0.87,8,0.48,8
C1,0.6844444444444444,9,0.7722222222222223,9
C2,0.6920000000000001,15,0.716,15
C3,0.5253846153846153,13,0.6353846153846153,13
D1,0.8522222222222222,9,0.8844444444444445,9
D2,0.663,10,0.653,10
D3,0.6466666666666667,9,0.5622222222222223,9
D4,0.9299999999999999,13,0.916923076923077,13
E1,0.8226315789473684,19,0.7978947368421053,19
E2,0.985,8,0.9133333333333334,6
E3,0.895,12,0.9783333333333334,12
E4,0.7430769230769231,13,0.7753846153846153,13
E5,0.8666666666666667,12,0.815,12
E6,0.9569230769230769,13,0.9107692307692308,13
P1,0.7981654943497049,0,0.7711111111111112,18
P2,0.7981654943497049,0,0.8539999999999999,20
S1,0.9233333333333333,6,0.8633333333333333,6
S2,0.7615384615384616,13,0.86,13
