pert_type,top2_lora,pm1,non_lora_top2,winner
A1,0.281818182,0.309090909,0.309090909,"non_lora_top2, pm1"
A2,0.775,0.583333333,0.375,top2_lora
A3,0.45,0.4125,0.21875,top2_lora
C1,0.327777778,0.344444444,0.361111111,non_lora_top2
C2,0.41,0.386666667,0.44,non_lora_top2
C3,0.265384615,0.346153846,0.369230769,non_lora_top2
D1,0.5,0.533333333,0.555555556,non_lora_top2
D2,0.425,0.48,0.39,pm1
D3,0.311111111,0.311111111,0.277777778,"pm1, top2_lora"
D4,0.646153846,0.646153846,0.676923077,non_lora_top2
E1,0.489473684,0.494736842,0.542105263,non_lora_top2
E2,0.6125,0.6125,0.6,"pm1, top2_lora"
E3,0.425,0.425,0.633333333,non_lora_top2
E4,0.353846154,0.384615385,0.407692308,non_lora_top2
E5,0.616666667,0.583333333,0.5,top2_lora
E6,0.607692308,0.56,0.584615385,top2_lora
P1,0.477634686,0.45,0.45,top2_lora
P2,0.477634686,0.525,0.5,pm1
S1,0.6,0.533333333,0.5,top2_lora
S2,0.5,0.523076923,0.530769231,non_lora_top2
